OrderDate,SalesPrice
9/7/2017,1230
9/26/2017,1257
10/4/2017,1000
10/12/2017,1250
10/13/2017,1250
10/16/2017,1037
10/20/2017,1113
10/30/2017,1050
11/7/2017,1400
11/10/2017,1140
11/27/2017,1050
11/27/2017,1201
12/5/2017,1000
12/17/2017,1155
12/18/2017,1101
12/29/2017,1050
1/4/2018,1150
1/12/2018,1050
1/14/2018,1000
1/19/2018,1140
1/20/2018,1350
1/22/2018,1140
1/29/2018,1600
2/8/2018,1136
2/12/2018,970
2/15/2018,999
2/16/2018,1050
2/21/2018,1025
2/24/2018,1000
3/16/2018,1050
4/3/2018,1000
4/5/2018,1000
4/7/2018,2000
4/12/2018,951
4/15/2018,1240
4/21/2018,1150
4/30/2018,1100
5/1/2018,810
5/4/2018,1044
5/19/2018,1014
5/23/2018,1005
5/30/2018,1034
5/31/2018,900
5/31/2018,980
6/12/2018,1025
6/15/2018,905
6/16/2018,900
6/20/2018,900
6/20/2018,870
6/26/2018,875
6/27/2018,1000
6/30/2018,876
7/1/2018,910
7/5/2018,940
7/10/2018,914
7/11/2018,902
7/24/2018,924
7/25/2018,949
7/29/2018,907
7/31/2018,1248
8/1/2018,910
8/6/2018,900
8/7/2018,922
8/13/2018,1200
8/17/2018,909
8/25/2018,893
8/26/2018,1030
9/9/2018,850
9/11/2018,1095
9/14/2018,890
9/21/2018,885
9/24/2018,861
10/1/2018,900
10/24/2018,872
10/31/2018,960
11/1/2018,801
11/23/2018,730
11/26/2018,874
11/26/2018,770
11/28/2018,964
12/3/2018,778
12/8/2018,760
12/12/2018,745
12/14/2018,930
12/15/2018,875
12/16/2018,830
12/17/2018,800
12/19/2018,920
12/21/2018,800
12/31/2018,1026
1/2/2019,884
1/2/2019,800
1/11/2019,1000
1/17/2019,760
1/25/2019,1200
1/26/2019,800
2/5/2019,740
2/6/2019,900
2/6/2019,830
2/7/2019,860
