OrderDate,SalesPrice
9/11/2017,1101
9/25/2017,1299
10/13/2017,1056
10/13/2017,1000
10/26/2017,1222
11/10/2017,1160
11/21/2017,970
12/8/2017,980
12/11/2017,1001
12/29/2017,1100
1/2/2018,1100
1/18/2018,1261
1/20/2018,1200
1/22/2018,1090
1/23/2018,905
1/28/2018,1020
1/30/2018,1136
2/12/2018,1050
2/15/2018,1200
2/22/2018,1470
2/24/2018,1186
2/27/2018,1130
3/2/2018,1139
3/6/2018,1400
3/12/2018,1030
3/26/2018,1070
4/3/2018,1023
4/17/2018,1020
4/22/2018,1090
5/30/2018,910
5/31/2018,865
6/2/2018,1000
6/9/2018,1100
6/17/2018,1100
6/23/2018,1250
6/26/2018,1350
7/20/2018,1150
7/25/2018,995
7/29/2018,1250
8/11/2018,830
8/14/2018,900
9/6/2018,985
9/11/2018,900
9/13/2018,939
9/17/2018,840
9/26/2018,1000
10/12/2018,950
10/14/2018,876
10/18/2018,875
10/31/2018,960
11/4/2018,856
11/10/2018,890
11/12/2018,800
11/13/2018,781
11/20/2018,800
11/25/2018,920
11/26/2018,741
12/6/2018,830
12/7/2018,945
12/10/2018,850
12/14/2018,1100
12/15/2018,855
12/17/2018,850
12/25/2018,800
1/11/2019,863
1/17/2019,750
1/20/2019,870
2/2/2019,1100
2/6/2019,771
2/8/2019,1000
