OrderDate,SalesPrice
9/20/2017,1150
10/5/2017,939
10/8/2017,910
10/10/2017,920
10/13/2017,950
10/13/2017,900
11/9/2017,855
11/11/2017,851
11/21/2017,850
12/14/2017,900
1/1/2018,875
1/5/2018,925
1/15/2018,985
1/16/2018,897
1/17/2018,815
1/18/2018,846
1/19/2018,820
1/19/2018,950
1/21/2018,875
1/22/2018,900
1/23/2018,840
1/24/2018,850
1/27/2018,889
1/28/2018,930
1/30/2018,925
2/1/2018,850
2/5/2018,960
2/18/2018,972
2/20/2018,910
2/22/2018,835
2/23/2018,924
3/6/2018,930
3/12/2018,1060
3/23/2018,1250
3/25/2018,1000
3/26/2018,870
3/30/2018,920
4/1/2018,1000
4/6/2018,885
4/26/2018,900
5/3/2018,900
5/16/2018,1000
5/19/2018,800
5/26/2018,830
5/28/2018,1300
5/29/2018,822
5/30/2018,945
5/31/2018,854
6/6/2018,975
6/17/2018,975
7/18/2018,865
7/30/2018,936
8/8/2018,992
8/11/2018,799
8/16/2018,849
8/21/2018,810
8/29/2018,959
9/1/2018,915
9/2/2018,880
9/11/2018,725
9/12/2018,805
9/18/2018,810
9/19/2018,850
9/20/2018,1150
9/23/2018,736
9/24/2018,1250
10/5/2018,895
10/20/2018,850
10/27/2018,938
10/30/2018,978
10/31/2018,775
10/31/2018,745
11/10/2018,730
11/16/2018,825
11/26/2018,825
11/26/2018,730
11/27/2018,890
11/30/2018,900
12/5/2018,870
12/6/2018,795
12/9/2018,820
12/13/2018,1000
12/15/2018,721
12/16/2018,800
12/17/2018,800
12/20/2018,915
12/30/2018,800
1/5/2019,800
1/7/2019,950
1/25/2019,814
1/28/2019,880
2/6/2019,850
2/7/2019,753
2/8/2019,950
2/10/2019,890
