OrderDate,SalesPrice
9/14/2017,2300
9/15/2017,1890
9/21/2017,1875
9/25/2017,1995
10/13/2017,1910
10/13/2017,1505
10/14/2017,1501
11/24/2017,1450
11/27/2017,1761
11/28/2017,1989
11/29/2017,1545
12/18/2017,1840
1/6/2018,1750
1/12/2018,1675
1/13/2018,1675
1/30/2018,1808
2/9/2018,1877
3/6/2018,1888
3/7/2018,1995
3/8/2018,1697
3/19/2018,1699
4/8/2018,1775
5/10/2018,1700
5/30/2018,1700
6/2/2018,1500
6/2/2018,1390
6/11/2018,1700
7/5/2018,1500
7/7/2018,1895
7/12/2018,1475
7/15/2018,1580
7/19/2018,1700
7/22/2018,1650
7/31/2018,1500
8/2/2018,1819
8/13/2018,1450
8/16/2018,1506
8/16/2018,1300
8/23/2018,1190
8/29/2018,1187
8/30/2018,1275
9/19/2018,1325
9/24/2018,1400
10/2/2018,1302
10/8/2018,1057
10/12/2018,1380
10/13/2018,1325
10/25/2018,1839
10/31/2018,1555
11/4/2018,1051
11/5/2018,1400
11/17/2018,1042
11/18/2018,1398
11/22/2018,1270
11/23/2018,1295
11/26/2018,1250
11/27/2018,1200
11/30/2018,1277
12/4/2018,1325
12/7/2018,1350
12/9/2018,1200
12/10/2018,1645
12/18/2018,1355
12/19/2018,1245
12/26/2018,1450
1/21/2019,1150
1/27/2019,1350
2/7/2019,1300
