OrderDate,SalesPrice
9/1/2017,1097
9/2/2017,850
9/3/2017,1068
9/4/2017,960
9/5/2017,870
9/6/2017,904
9/7/2017,746
9/8/2017,920
9/10/2017,990
9/11/2017,1100
9/11/2017,1050
9/12/2017,985
9/12/2017,985
9/13/2017,1139
9/14/2017,910
9/15/2017,790
9/15/2017,800
9/16/2017,971
9/17/2017,970
9/17/2017,1145
9/18/2017,925
9/19/2017,871
9/20/2017,760
9/21/2017,1005
9/23/2017,1060
9/24/2017,1155
9/25/2017,900
9/25/2017,747
9/26/2017,989
9/27/2017,885
10/1/2017,1150
10/2/2017,1130
10/3/2017,1155
10/3/2017,976
10/4/2017,1010
10/5/2017,1000
10/6/2017,810
10/6/2017,1049
10/7/2017,999
10/8/2017,1090
10/10/2017,940
10/11/2017,855
10/12/2017,970
10/13/2017,890
10/13/2017,973
10/13/2017,991
10/13/2017,825
10/13/2017,809
10/13/2017,1000
10/13/2017,900
10/13/2017,940
10/13/2017,965
10/13/2017,1000
10/14/2017,930
10/15/2017,1051
10/17/2017,800
10/18/2017,905
10/19/2017,1111
10/21/2017,1020
10/24/2017,931
10/27/2017,900
10/31/2017,1050
11/1/2017,820
11/2/2017,1000
11/5/2017,1000
11/6/2017,1025
11/6/2017,965
11/7/2017,880
11/9/2017,821
11/10/2017,998
11/13/2017,936
11/13/2017,960
11/13/2017,1000
11/15/2017,945
11/16/2017,983
11/19/2017,920
11/20/2017,723
11/22/2017,965
11/22/2017,925
11/23/2017,945
11/23/2017,850
11/24/2017,800
11/24/2017,725
11/25/2017,930
11/25/2017,880
11/25/2017,801
11/26/2017,800
11/27/2017,900
11/27/2017,800
11/28/2017,889
11/29/2017,815
11/30/2017,890
12/1/2017,820
12/1/2017,905
12/4/2017,874
12/5/2017,875
12/6/2017,825
12/8/2017,927
12/8/2017,900
12/10/2017,850
12/11/2017,825
12/12/2017,910
12/13/2017,800
12/14/2017,700
12/15/2017,915
12/16/2017,900
12/17/2017,780
12/17/2017,970
12/18/2017,875
12/18/2017,776
12/18/2017,800
12/20/2017,690
12/20/2017,1490
12/22/2017,899
12/24/2017,800
12/24/2017,810
12/24/2017,800
12/25/2017,860
12/26/2017,865
12/27/2017,801
12/28/2017,920
12/28/2017,706
12/29/2017,870
12/30/2017,850
12/31/2017,799
12/31/2017,898
1/2/2018,871
1/2/2018,820
1/3/2018,980
1/4/2018,770
1/5/2018,800
1/5/2018,820
1/8/2018,860
1/9/2018,835
1/11/2018,847
1/13/2018,725
1/15/2018,907
1/16/2018,855
1/16/2018,710
1/17/2018,895
1/17/2018,850
1/18/2018,875
1/19/2018,710
1/20/2018,840
1/20/2018,708
1/22/2018,870
1/22/2018,911
1/23/2018,811
1/23/2018,800
1/24/2018,760
1/25/2018,835
1/26/2018,875
1/27/2018,725
1/29/2018,870
1/31/2018,900
2/1/2018,865
2/3/2018,806
2/6/2018,1111
2/6/2018,825
2/7/2018,811
2/8/2018,729
2/9/2018,1250
2/10/2018,830
2/12/2018,999
2/13/2018,900
2/16/2018,849
2/17/2018,783
2/21/2018,830
2/22/2018,850
2/23/2018,845
2/23/2018,750
2/25/2018,780
2/26/2018,850
2/26/2018,849
3/2/2018,920
3/3/2018,845
3/4/2018,730
3/7/2018,890
3/8/2018,850
3/9/2018,872
3/10/2018,810
3/12/2018,850
3/13/2018,885
3/15/2018,794
3/16/2018,816
3/17/2018,825
3/18/2018,840
3/19/2018,750
3/20/2018,700
3/22/2018,834
3/24/2018,800
3/25/2018,689
3/26/2018,909
3/28/2018,750
3/28/2018,695
3/29/2018,800
3/30/2018,830
3/30/2018,789
3/31/2018,847
3/31/2018,915
4/1/2018,770
4/3/2018,725
4/4/2018,825
4/4/2018,825
4/6/2018,905
4/7/2018,714
4/12/2018,850
4/13/2018,750
4/15/2018,720
4/16/2018,745
4/17/2018,785
4/18/2018,786
4/18/2018,835
4/19/2018,849
4/19/2018,734
4/20/2018,771
4/21/2018,900
4/21/2018,682
4/22/2018,850
4/23/2018,815
4/25/2018,820
4/25/2018,828
4/26/2018,819
4/27/2018,800
4/28/2018,825
4/29/2018,845
5/1/2018,920
5/1/2018,900
5/2/2018,785
5/3/2018,816
5/4/2018,795
5/6/2018,795
5/7/2018,780
5/8/2018,849
5/9/2018,800
5/9/2018,720
5/10/2018,800
5/11/2018,840
5/11/2018,790
5/12/2018,933
5/13/2018,915
5/14/2018,815
5/15/2018,780
5/16/2018,820
5/17/2018,800
5/20/2018,800
5/23/2018,725
5/24/2018,766
5/25/2018,799
5/25/2018,780
5/27/2018,840
5/29/2018,700
5/30/2018,725
5/30/2018,640
5/30/2018,681
5/30/2018,756
5/30/2018,750
5/30/2018,800
5/30/2018,719
5/31/2018,709
5/31/2018,660
6/1/2018,650
6/2/2018,682
6/3/2018,735
6/4/2018,749
6/5/2018,700
6/6/2018,673
6/9/2018,739
6/9/2018,800
6/10/2018,790
6/11/2018,775
6/13/2018,1000
6/13/2018,805
6/14/2018,723
6/15/2018,820
6/21/2018,800
6/21/2018,725
6/22/2018,711
6/23/2018,745
6/25/2018,769
6/26/2018,760
6/27/2018,775
6/28/2018,790
6/29/2018,750
6/30/2018,785
7/1/2018,731
7/2/2018,616
7/3/2018,768
7/6/2018,796
7/8/2018,720
7/9/2018,750
7/10/2018,748
7/12/2018,745
7/13/2018,700
7/16/2018,700
7/18/2018,650
7/19/2018,755
