OrderDate,SalesPrice
9/1/2017,685
9/5/2017,708
9/6/2017,675
9/7/2017,699
9/13/2017,750
9/21/2017,775
9/22/2017,765
9/24/2017,725
9/26/2017,825
9/29/2017,682
10/7/2017,750
10/10/2017,1095
10/12/2017,990
10/13/2017,650
10/13/2017,663
10/23/2017,685
10/24/2017,681
11/5/2017,825
11/8/2017,615
11/9/2017,809
11/13/2017,700
11/15/2017,637
11/18/2017,682
11/21/2017,655
11/23/2017,660
11/24/2017,715
11/27/2017,651
11/27/2017,650
12/1/2017,601
12/3/2017,570
12/4/2017,800
12/5/2017,619
12/8/2017,650
12/10/2017,730
12/12/2017,900
12/12/2017,605
12/14/2017,720
12/15/2017,590
12/15/2017,625
12/15/2017,625
12/16/2017,779
12/18/2017,650
12/19/2017,675
12/20/2017,649
12/21/2017,695
12/23/2017,672
12/25/2017,680
12/30/2017,700
1/1/2018,700
1/8/2018,641
1/13/2018,740
1/17/2018,615
1/19/2018,688
1/22/2018,670
1/24/2018,640
1/30/2018,700
2/1/2018,660
2/8/2018,684
2/14/2018,700
2/17/2018,700
2/19/2018,725
2/19/2018,646
2/22/2018,730
2/22/2018,740
3/2/2018,621
3/2/2018,650
3/3/2018,850
3/4/2018,690
3/5/2018,698
3/6/2018,670
3/7/2018,668
3/8/2018,690
3/9/2018,645
3/15/2018,700
3/16/2018,707
3/18/2018,728
3/20/2018,655
3/20/2018,629
3/27/2018,770
3/29/2018,685
3/30/2018,764
4/1/2018,700
4/2/2018,612
4/2/2018,675
4/5/2018,697
4/10/2018,699
4/12/2018,675
4/14/2018,695
4/21/2018,760
4/22/2018,695
4/30/2018,698
5/3/2018,679
5/4/2018,850
5/7/2018,635
5/10/2018,690
5/11/2018,694
5/14/2018,680
5/14/2018,645
5/15/2018,699
5/15/2018,703
5/16/2018,649
5/17/2018,719
5/18/2018,740
5/18/2018,600
5/21/2018,592
5/22/2018,740
5/26/2018,650
5/27/2018,671
5/28/2018,679
5/28/2018,685
5/30/2018,660
5/30/2018,650
5/31/2018,625
6/1/2018,662
6/2/2018,687
6/3/2018,650
6/4/2018,583
6/4/2018,650
6/10/2018,737
6/11/2018,655
6/11/2018,755
6/13/2018,586
6/16/2018,634
6/20/2018,600
6/21/2018,638
6/26/2018,595
6/27/2018,600
6/30/2018,600
7/2/2018,645
7/5/2018,641
7/6/2018,650
7/9/2018,560
7/11/2018,820
7/15/2018,630
7/18/2018,670
7/20/2018,600
7/22/2018,540
7/23/2018,575
7/24/2018,645
7/28/2018,575
8/1/2018,590
8/8/2018,576
8/10/2018,615
8/13/2018,655
8/14/2018,630
8/16/2018,550
8/16/2018,599
8/17/2018,590
8/21/2018,825
8/24/2018,620
8/27/2018,680
8/28/2018,556
9/1/2018,625
9/5/2018,650
9/6/2018,675
9/19/2018,590
9/23/2018,565
9/24/2018,610
9/26/2018,640
9/27/2018,678
9/27/2018,640
9/28/2018,710
10/2/2018,578
10/3/2018,581
10/5/2018,650
10/8/2018,500
10/10/2018,620
10/12/2018,630
10/13/2018,557
10/15/2018,580
10/20/2018,750
10/23/2018,799
10/29/2018,638
10/31/2018,660
11/1/2018,575
11/1/2018,511
11/10/2018,630
11/16/2018,600
11/17/2018,650
11/18/2018,790
11/20/2018,896
11/21/2018,600
11/23/2018,575
11/23/2018,570
11/24/2018,650
11/25/2018,700
11/26/2018,550
11/26/2018,523
11/26/2018,553
12/1/2018,556
12/3/2018,676
12/6/2018,565
12/8/2018,648
12/10/2018,601
12/11/2018,575
12/12/2018,601
12/13/2018,580
12/14/2018,597
12/15/2018,611
12/16/2018,570
12/20/2018,595
12/21/2018,575
12/22/2018,569
12/27/2018,565
12/29/2018,589
12/30/2018,590
12/30/2018,584
1/2/2019,584
1/3/2019,523
1/8/2019,519
1/12/2019,580
1/13/2019,590
1/14/2019,595
1/15/2019,554
1/17/2019,575
1/21/2019,605
1/25/2019,656
1/27/2019,622
1/29/2019,551
2/5/2019,648
2/6/2019,590
2/7/2019,520
2/8/2019,648
2/11/2019,600
2/12/2019,590
