OrderDate,SalesPrice
9/1/2017,690
9/6/2017,697
9/9/2017,700
9/10/2017,640
9/10/2017,695
9/11/2017,640
9/12/2017,650
9/12/2017,642
9/13/2017,641
9/14/2017,680
9/17/2017,700
9/18/2017,681
9/20/2017,640
9/21/2017,620
9/22/2017,616
9/28/2017,700
10/3/2017,610
10/10/2017,920
10/13/2017,711
10/13/2017,690
10/13/2017,621
10/13/2017,646
10/20/2017,675
10/21/2017,780
10/23/2017,810
10/26/2017,616
10/30/2017,650
11/9/2017,650
11/19/2017,725
11/21/2017,636
11/22/2017,675
11/25/2017,582
11/27/2017,575
11/27/2017,666
11/30/2017,587
12/1/2017,625
12/8/2017,620
12/9/2017,699
12/13/2017,600
12/14/2017,695
12/15/2017,621
12/16/2017,630
12/20/2017,625
12/21/2017,649
12/24/2017,585
12/24/2017,600
12/24/2017,566
12/28/2017,500
12/31/2017,610
1/2/2018,627
1/8/2018,700
1/12/2018,650
1/13/2018,630
1/16/2018,662
1/18/2018,603
1/19/2018,601
1/21/2018,570
1/24/2018,600
1/25/2018,660
1/28/2018,630
1/31/2018,500
2/4/2018,635
2/9/2018,675
2/11/2018,610
2/16/2018,619
2/16/2018,633
2/17/2018,635
2/20/2018,605
2/22/2018,679
2/23/2018,660
2/24/2018,686
2/27/2018,675
3/2/2018,694
3/2/2018,620
3/14/2018,725
3/17/2018,725
3/23/2018,675
3/24/2018,680
3/25/2018,675
3/27/2018,725
3/28/2018,575
4/3/2018,700
4/5/2018,645
4/6/2018,695
4/16/2018,675
4/18/2018,600
4/20/2018,656
4/30/2018,655
5/4/2018,666
5/9/2018,610
5/10/2018,799
5/11/2018,686
5/14/2018,630
5/16/2018,644
5/19/2018,621
5/20/2018,675
5/21/2018,625
5/25/2018,635
5/26/2018,565
5/27/2018,670
5/29/2018,618
5/30/2018,640
5/30/2018,605
5/31/2018,565
5/31/2018,600
6/1/2018,673
6/2/2018,685
6/10/2018,617
6/11/2018,687
6/13/2018,600
6/14/2018,635
6/17/2018,595
6/20/2018,601
6/26/2018,585
6/30/2018,605
7/5/2018,631
7/7/2018,617
7/8/2018,586
7/9/2018,665
7/18/2018,645
7/19/2018,555
7/21/2018,592
7/23/2018,579
7/27/2018,665
7/29/2018,635
7/30/2018,630
7/31/2018,570
8/10/2018,590
8/14/2018,711
8/16/2018,544
8/18/2018,635
8/21/2018,525
8/23/2018,659
8/28/2018,570
8/28/2018,556
8/29/2018,999
9/3/2018,690
9/3/2018,655
9/3/2018,645
9/13/2018,590
9/18/2018,582
9/22/2018,531
9/22/2018,590
9/27/2018,710
9/29/2018,799
10/1/2018,540
10/2/2018,570
10/3/2018,659
10/4/2018,545
10/5/2018,510
10/6/2018,659
10/8/2018,600
10/8/2018,555
10/11/2018,600
10/15/2018,632
10/17/2018,625
10/23/2018,570
10/25/2018,580
10/27/2018,574
10/30/2018,540
10/31/2018,535
10/31/2018,555
11/4/2018,501
11/12/2018,466
11/14/2018,719
11/15/2018,520
11/18/2018,579
11/19/2018,520
11/23/2018,625
11/24/2018,575
11/26/2018,580
11/26/2018,491
11/29/2018,452
11/30/2018,500
12/3/2018,502
12/4/2018,650
12/14/2018,520
12/17/2018,540
12/19/2018,570
12/20/2018,575
12/21/2018,538
12/22/2018,638
12/23/2018,450
12/27/2018,545
1/4/2019,550
1/6/2019,554
1/7/2019,575
1/18/2019,512
1/25/2019,520
1/27/2019,600
1/29/2019,574
2/3/2019,575
2/6/2019,515
2/7/2019,566
2/10/2019,620
2/11/2019,568
