OrderDate,SalesPrice
9/1/2017,828
9/1/2017,798
9/2/2017,740
9/2/2017,765
9/3/2017,820
9/3/2017,750
9/4/2017,785
9/5/2017,815
9/5/2017,799
9/6/2017,845
9/6/2017,815
9/7/2017,775
9/7/2017,911
9/7/2017,830
9/7/2017,860
9/8/2017,785
9/8/2017,875
9/9/2017,829
9/9/2017,747
9/10/2017,810
9/10/2017,800
9/11/2017,810
9/11/2017,861
9/12/2017,750
9/12/2017,715
9/13/2017,810
9/14/2017,810
9/14/2017,998
9/15/2017,975
9/15/2017,875
9/16/2017,794
9/16/2017,748
9/17/2017,795
9/18/2017,802
9/19/2017,761
9/20/2017,799
9/21/2017,782
9/21/2017,755
9/22/2017,771
9/23/2017,820
9/24/2017,784
9/24/2017,941
9/25/2017,785
9/25/2017,787
9/26/2017,823
9/26/2017,775
9/27/2017,900
9/27/2017,819
9/28/2017,755
9/28/2017,780
9/29/2017,915
9/30/2017,946
9/30/2017,787
10/1/2017,805
10/2/2017,833
10/2/2017,790
10/2/2017,1025
10/3/2017,766
10/3/2017,874
10/3/2017,830
10/3/2017,790
10/4/2017,950
10/4/2017,755
10/4/2017,831
10/5/2017,785
10/5/2017,785
10/6/2017,809
10/6/2017,775
10/7/2017,795
10/8/2017,880
10/9/2017,765
10/10/2017,800
10/10/2017,800
10/11/2017,898
10/11/2017,770
10/12/2017,866
10/12/2017,805
10/13/2017,750
10/13/2017,851
10/13/2017,736
10/13/2017,700
10/13/2017,760
10/13/2017,740
10/13/2017,695
10/13/2017,768
10/13/2017,740
10/13/2017,800
10/13/2017,755
10/13/2017,801
10/13/2017,687
10/13/2017,730
10/13/2017,742
10/13/2017,800
10/13/2017,735
10/14/2017,702
10/14/2017,720
10/15/2017,860
10/16/2017,730
10/17/2017,1100
10/18/2017,799
10/19/2017,838
10/20/2017,830
10/21/2017,785
10/22/2017,835
10/22/2017,829
10/23/2017,825
10/24/2017,800
10/24/2017,799
10/24/2017,1050
10/25/2017,835
10/26/2017,780
10/26/2017,805
10/26/2017,870
10/27/2017,796
10/27/2017,840
10/28/2017,800
10/29/2017,800
10/31/2017,820
11/1/2017,795
11/1/2017,995
11/2/2017,790
11/3/2017,850
11/3/2017,829
11/5/2017,819
11/5/2017,815
11/6/2017,766
11/6/2017,800
11/6/2017,800
11/7/2017,771
11/8/2017,750
11/8/2017,791
11/8/2017,790
11/9/2017,725
11/9/2017,786
11/9/2017,762
11/10/2017,785
11/10/2017,750
11/11/2017,755
11/11/2017,815
11/12/2017,763
11/12/2017,740
11/13/2017,934
11/13/2017,933
11/14/2017,776
11/15/2017,785
11/15/2017,920
11/16/2017,1100
11/16/2017,765
11/17/2017,740
11/18/2017,785
11/19/2017,915
11/19/2017,734
11/20/2017,790
11/20/2017,732
11/20/2017,850
11/21/2017,750
11/22/2017,800
11/23/2017,780
11/24/2017,750
11/24/2017,798
11/24/2017,816
11/24/2017,800
11/25/2017,785
11/25/2017,750
11/26/2017,725
11/26/2017,800
11/26/2017,720
11/26/2017,789
11/27/2017,666
11/27/2017,715
11/27/2017,736
11/27/2017,1150
11/27/2017,925
11/27/2017,710
11/28/2017,710
11/28/2017,765
11/29/2017,760
11/30/2017,1160
11/30/2017,750
11/30/2017,720
12/1/2017,661
12/2/2017,779
12/2/2017,750
12/3/2017,790
12/3/2017,730
12/4/2017,775
12/5/2017,750
12/5/2017,765
12/6/2017,940
12/7/2017,698
12/7/2017,731
12/7/2017,732
12/8/2017,778
12/8/2017,750
12/9/2017,760
12/9/2017,850
12/9/2017,759
12/9/2017,789
12/10/2017,814
12/10/2017,726
12/10/2017,845
12/11/2017,813
12/11/2017,829
12/12/2017,888
12/12/2017,879
12/12/2017,775
12/12/2017,739
12/13/2017,773
12/14/2017,775
12/14/2017,700
12/14/2017,760
12/15/2017,1099
12/16/2017,789
12/16/2017,799
12/16/2017,795
12/17/2017,755
12/17/2017,690
12/18/2017,739
12/18/2017,1099
12/18/2017,886
12/19/2017,795
12/19/2017,748
12/20/2017,895
12/20/2017,700
12/21/2017,1000
12/21/2017,900
12/22/2017,691
12/23/2017,745
12/24/2017,785
12/24/2017,711
12/24/2017,825
12/24/2017,740
12/25/2017,745
12/26/2017,740
12/27/2017,790
12/27/2017,801
12/28/2017,774
12/28/2017,800
12/29/2017,740
12/29/2017,760
12/29/2017,796
12/30/2017,780
12/31/2017,800
1/1/2018,800
1/1/2018,798
1/1/2018,802
1/1/2018,790
1/1/2018,780
1/2/2018,981
1/2/2018,795
