OrderDate,SalesPrice
9/1/2017,1075
9/2/2017,999
9/3/2017,1095
9/5/2017,1162
9/9/2017,1092
9/11/2017,1200
9/12/2017,1049
9/14/2017,1002
9/17/2017,1001
9/17/2017,998
9/18/2017,1000
9/19/2017,988
9/21/2017,1009
9/22/2017,1045
9/25/2017,1000
9/27/2017,1000
9/29/2017,1045
10/1/2017,1025
10/2/2017,1055
10/4/2017,964
10/4/2017,1039
10/5/2017,993
10/8/2017,950
10/9/2017,993
10/10/2017,988
10/12/2017,950
10/13/2017,871
10/13/2017,963
10/13/2017,1130
10/13/2017,1026
10/13/2017,981
10/14/2017,970
10/24/2017,1047
10/28/2017,1037
10/31/2017,956
11/7/2017,975
11/10/2017,900
11/11/2017,1022
11/12/2017,851
11/14/2017,1045
11/15/2017,1020
11/16/2017,920
11/21/2017,902
11/24/2017,950
11/25/2017,850
11/26/2017,871
11/27/2017,930
11/27/2017,1000
12/3/2017,878
12/4/2017,1030
12/5/2017,880
12/6/2017,930
12/7/2017,950
12/8/2017,1034
12/10/2017,970
12/13/2017,920
12/14/2017,980
12/16/2017,990
12/17/2017,1069
12/18/2017,899
12/18/2017,1000
12/19/2017,935
12/19/2017,861
12/22/2017,999
12/24/2017,816
12/24/2017,855
12/27/2017,945
12/28/2017,801
12/30/2017,915
1/3/2018,886
1/4/2018,940
1/6/2018,880
1/7/2018,1200
1/9/2018,955
1/10/2018,915
1/11/2018,969
1/12/2018,888
1/15/2018,852
1/18/2018,881
1/19/2018,968
1/21/2018,999
1/23/2018,1022
1/24/2018,900
1/27/2018,999
1/28/2018,980
1/29/2018,920
1/31/2018,910
2/2/2018,960
2/3/2018,912
2/4/2018,985
2/5/2018,1035
2/6/2018,882
2/7/2018,1194
2/8/2018,866
2/9/2018,1025
2/10/2018,960
2/13/2018,1050
2/15/2018,1250
2/16/2018,930
2/19/2018,871
2/20/2018,977
2/22/2018,890
2/23/2018,950
2/24/2018,972
3/5/2018,975
3/7/2018,882
3/8/2018,1099
3/10/2018,1200
3/11/2018,900
3/16/2018,945
3/16/2018,952
3/18/2018,930
3/20/2018,1052
3/23/2018,950
3/24/2018,979
3/26/2018,950
3/27/2018,963
3/30/2018,942
4/1/2018,1000
4/2/2018,1100
4/2/2018,990
4/3/2018,855
4/6/2018,871
4/8/2018,950
4/9/2018,1200
4/10/2018,925
4/11/2018,950
4/12/2018,975
4/13/2018,880
4/14/2018,875
4/19/2018,969
4/21/2018,1130
4/25/2018,919
4/30/2018,1000
5/2/2018,840
5/3/2018,990
5/4/2018,1000
5/5/2018,920
5/6/2018,985
5/7/2018,988
5/8/2018,850
5/11/2018,953
5/14/2018,889
5/15/2018,950
5/18/2018,915
5/19/2018,987
5/22/2018,1000
5/26/2018,999
5/28/2018,1030
5/29/2018,1150
5/30/2018,955
5/30/2018,786
5/30/2018,931
5/30/2018,801
5/30/2018,1111
5/31/2018,850
5/31/2018,850
6/1/2018,905
6/1/2018,833
6/4/2018,899
6/5/2018,940
6/7/2018,950
6/8/2018,902
6/13/2018,793
6/14/2018,818
6/16/2018,1195
6/19/2018,932
6/20/2018,850
6/21/2018,930
6/23/2018,915
6/26/2018,790
7/4/2018,763
7/7/2018,1030
7/10/2018,940
7/12/2018,935
7/16/2018,955
7/17/2018,920
7/19/2018,1025
7/20/2018,1050
7/21/2018,900
7/26/2018,902
7/28/2018,898
7/29/2018,975
8/1/2018,800
8/2/2018,900
8/3/2018,800
8/5/2018,751
8/9/2018,890
8/12/2018,931
8/13/2018,981
8/16/2018,750
8/17/2018,1137
8/24/2018,790
8/27/2018,716
8/28/2018,760
9/1/2018,900
9/1/2018,911
9/2/2018,1030
9/3/2018,898
9/6/2018,850
9/8/2018,960
9/9/2018,990
9/11/2018,826
9/12/2018,994
9/13/2018,840
9/15/2018,1089
9/17/2018,980
9/18/2018,910
9/20/2018,995
9/22/2018,810
9/23/2018,1000
9/25/2018,880
9/26/2018,978
9/27/2018,910
10/5/2018,880
10/5/2018,880
10/8/2018,900
10/11/2018,1315
10/12/2018,925
10/12/2018,875
10/17/2018,1030
10/19/2018,1050
10/25/2018,1000
10/25/2018,990
10/26/2018,1039
10/26/2018,850
10/29/2018,916
10/31/2018,830
10/31/2018,865
11/1/2018,867
11/2/2018,893
11/3/2018,899
11/4/2018,950
11/8/2018,800
11/10/2018,930
11/14/2018,850
11/15/2018,900
11/16/2018,790
11/17/2018,875
11/21/2018,811
11/22/2018,928
11/23/2018,750
11/24/2018,799
11/25/2018,800
11/26/2018,675
11/26/2018,921
11/26/2018,921
11/26/2018,780
11/27/2018,874
11/28/2018,1100
11/28/2018,682
11/29/2018,1200
11/29/2018,888
11/30/2018,920
12/1/2018,999
12/5/2018,935
12/7/2018,864
12/8/2018,950
12/9/2018,849
12/10/2018,975
12/11/2018,870
12/12/2018,750
12/13/2018,980
12/14/2018,781
12/14/2018,755
12/18/2018,850
12/21/2018,1000
12/22/2018,650
12/23/2018,870
12/24/2018,781
12/25/2018,1575
12/26/2018,850
12/28/2018,770
1/2/2019,800
1/3/2019,921
1/4/2019,830
1/7/2019,950
1/8/2019,975
1/9/2019,879
1/11/2019,988
1/12/2019,1000
1/15/2019,1100
1/16/2019,880
1/17/2019,950
1/18/2019,702
1/19/2019,845
1/21/2019,850
1/23/2019,820
1/25/2019,880
1/26/2019,949
1/27/2019,950
1/30/2019,866
1/31/2019,880
2/2/2019,889
2/6/2019,816
2/7/2019,905
2/8/2019,776
2/9/2019,885
2/11/2019,850
2/12/2019,990
2/13/2019,727
2/13/2019,843
