OrderDate,SalesPrice
9/1/2017,784
9/2/2017,800
9/3/2017,715
9/3/2017,870
9/4/2017,799
9/4/2017,850
9/5/2017,775
9/5/2017,700
9/6/2017,650
9/6/2017,790
9/7/2017,720
9/8/2017,740
9/8/2017,865
9/9/2017,814
9/10/2017,722
9/11/2017,799
9/13/2017,712
9/13/2017,820
9/14/2017,817
9/14/2017,700
9/15/2017,860
9/18/2017,676
9/19/2017,801
9/20/2017,664
9/21/2017,788
9/22/2017,775
9/23/2017,775
9/24/2017,820
9/24/2017,700
9/26/2017,704
9/26/2017,796
9/27/2017,885
9/28/2017,800
9/29/2017,800
9/30/2017,795
10/1/2017,830
10/2/2017,815
10/2/2017,771
10/3/2017,777
10/4/2017,690
10/5/2017,800
10/6/2017,686
10/7/2017,750
10/8/2017,798
10/10/2017,800
10/11/2017,695
10/12/2017,750
10/13/2017,689
10/13/2017,850
10/13/2017,720
10/13/2017,750
10/13/2017,650
10/13/2017,691
10/13/2017,680
10/14/2017,703
10/16/2017,695
10/17/2017,898
10/17/2017,714
10/18/2017,899
10/20/2017,710
10/21/2017,785
10/23/2017,859
10/24/2017,719
10/24/2017,705
10/25/2017,692
10/25/2017,720
10/27/2017,750
10/27/2017,755
10/29/2017,800
10/31/2017,719
10/31/2017,841
11/2/2017,1000
11/3/2017,750
11/5/2017,920
11/5/2017,690
11/6/2017,752
11/6/2017,680
11/7/2017,770
11/8/2017,700
11/9/2017,740
11/9/2017,774
11/10/2017,780
11/11/2017,680
11/14/2017,695
11/15/2017,700
11/16/2017,759
11/17/2017,715
11/17/2017,670
11/18/2017,795
11/21/2017,755
11/22/2017,701
11/22/2017,714
11/23/2017,825
11/23/2017,725
11/24/2017,735
11/25/2017,700
11/25/2017,703
11/26/2017,710
11/26/2017,700
11/27/2017,680
11/27/2017,700
11/28/2017,695
11/29/2017,699
11/30/2017,680
12/1/2017,710
12/1/2017,707
12/2/2017,700
12/4/2017,715
12/5/2017,719
12/6/2017,750
12/7/2017,760
12/9/2017,720
12/10/2017,720
12/10/2017,889
12/11/2017,815
12/12/2017,710
12/12/2017,710
12/13/2017,745
12/13/2017,885
12/15/2017,650
12/16/2017,815
12/16/2017,700
12/17/2017,857
12/18/2017,577
12/18/2017,755
12/18/2017,606
12/19/2017,740
12/20/2017,710
12/21/2017,720
12/22/2017,625
12/23/2017,682
12/24/2017,677
12/24/2017,700
12/25/2017,740
12/26/2017,729
12/27/2017,700
12/28/2017,739
12/29/2017,780
12/30/2017,701
1/1/2018,839
1/1/2018,719
1/1/2018,709
1/2/2018,775
1/4/2018,745
1/5/2018,795
1/6/2018,692
1/7/2018,765
1/8/2018,665
1/9/2018,700
1/11/2018,755
1/11/2018,733
1/12/2018,725
1/13/2018,715
1/14/2018,685
1/15/2018,720
1/16/2018,715
1/16/2018,739
1/16/2018,691
1/17/2018,700
1/17/2018,730
1/18/2018,760
1/18/2018,719
1/19/2018,797
1/19/2018,640
1/20/2018,769
1/21/2018,720
1/22/2018,710
1/23/2018,800
1/23/2018,750
1/24/2018,750
1/25/2018,800
1/26/2018,725
1/26/2018,720
1/27/2018,825
1/29/2018,733
1/29/2018,660
1/30/2018,764
1/31/2018,725
1/31/2018,691
2/1/2018,850
2/2/2018,740
2/3/2018,690
2/4/2018,740
2/5/2018,735
2/6/2018,725
2/6/2018,730
2/7/2018,641
2/7/2018,663
2/8/2018,675
2/9/2018,720
2/10/2018,690
2/11/2018,747
2/12/2018,745
2/14/2018,847
2/16/2018,653
2/17/2018,720
2/18/2018,728
2/19/2018,750
2/19/2018,730
2/20/2018,750
2/20/2018,660
2/21/2018,770
2/23/2018,745
2/24/2018,683
2/25/2018,725
2/26/2018,725
2/27/2018,796
2/27/2018,735
2/28/2018,1019
2/28/2018,750
3/1/2018,737
3/2/2018,750
3/3/2018,740
3/3/2018,740
3/4/2018,750
3/5/2018,680
3/6/2018,739
3/6/2018,700
3/7/2018,730
3/8/2018,790
3/10/2018,750
3/11/2018,705
3/12/2018,678
3/14/2018,739
3/16/2018,682
3/16/2018,710
3/17/2018,800
3/18/2018,750
3/19/2018,699
3/19/2018,670
3/20/2018,681
3/20/2018,755
3/21/2018,696
3/23/2018,730
3/24/2018,700
3/24/2018,720
3/25/2018,800
3/26/2018,690
3/28/2018,850
3/29/2018,720
3/29/2018,702
3/30/2018,641
3/31/2018,705
4/1/2018,711
4/2/2018,738
4/2/2018,750
4/3/2018,715
4/3/2018,738
4/4/2018,730
4/4/2018,715
4/5/2018,750
4/5/2018,730
4/6/2018,620
4/7/2018,899
4/8/2018,759
4/10/2018,660
4/10/2018,740
4/11/2018,700
4/11/2018,701
4/11/2018,689
4/12/2018,667
4/12/2018,635
4/13/2018,800
4/13/2018,675
4/14/2018,770
4/15/2018,700
4/16/2018,785
4/16/2018,670
4/17/2018,730
4/18/2018,890
4/19/2018,715
4/19/2018,621
4/20/2018,640
4/21/2018,740
4/22/2018,770
4/23/2018,735
4/24/2018,800
4/25/2018,720
4/26/2018,720
4/27/2018,764
4/28/2018,756
4/29/2018,702
4/30/2018,680
5/1/2018,701
5/2/2018,720
5/3/2018,685
5/3/2018,770
5/4/2018,743
5/4/2018,681
5/5/2018,740
5/7/2018,725
5/8/2018,766
5/10/2018,785
5/11/2018,740
5/12/2018,745
5/14/2018,742
5/14/2018,750
5/15/2018,775
5/16/2018,719
5/16/2018,742
5/17/2018,850
5/18/2018,715
5/18/2018,730
5/19/2018,775
5/21/2018,770
5/22/2018,775
5/23/2018,785
5/24/2018,675
5/25/2018,770
5/25/2018,740
5/26/2018,745
5/28/2018,720
5/29/2018,720
5/29/2018,767
5/30/2018,680
5/30/2018,691
5/30/2018,699
5/30/2018,700
5/30/2018,829
5/30/2018,674
5/30/2018,665
5/30/2018,820
5/31/2018,670
5/31/2018,699
6/1/2018,671
6/1/2018,675
6/2/2018,690
6/4/2018,700
6/4/2018,700
6/5/2018,685
6/6/2018,725
6/6/2018,735
6/7/2018,725
6/7/2018,700
6/8/2018,666
6/10/2018,770
6/11/2018,724
6/14/2018,700
6/14/2018,699
6/17/2018,700
6/18/2018,760
6/19/2018,714
6/20/2018,730
6/20/2018,680
6/21/2018,710
6/23/2018,800
6/24/2018,690
6/25/2018,705
6/26/2018,653
6/26/2018,740
6/27/2018,690
6/28/2018,705
6/29/2018,690
6/30/2018,650
6/30/2018,665
7/1/2018,699
7/1/2018,800
7/2/2018,730
7/2/2018,689
7/3/2018,749
7/5/2018,648
7/6/2018,749
7/7/2018,685
7/8/2018,735
7/9/2018,744
7/10/2018,718
7/11/2018,625
7/11/2018,770
7/12/2018,715
7/13/2018,900
7/14/2018,631
7/16/2018,655
7/17/2018,762
7/18/2018,650
7/19/2018,690
7/20/2018,600
7/22/2018,748
7/24/2018,655
7/24/2018,655
7/25/2018,739
7/26/2018,655
7/27/2018,872
7/29/2018,690
7/31/2018,700
8/1/2018,825
8/2/2018,670
8/2/2018,734
8/3/2018,671
8/4/2018,700
8/6/2018,690
8/7/2018,1100
8/7/2018,675
8/8/2018,677
8/8/2018,800
8/10/2018,750
8/11/2018,674
8/12/2018,665
8/12/2018,643
8/13/2018,610
8/14/2018,779
8/15/2018,744
8/16/2018,616
8/16/2018,610
8/17/2018,713
8/18/2018,700
8/19/2018,733
8/19/2018,730
8/20/2018,675
8/20/2018,754
8/21/2018,670
8/22/2018,710
8/22/2018,698
8/24/2018,606
8/25/2018,690
8/28/2018,699
8/28/2018,700
8/29/2018,695
8/30/2018,695
8/31/2018,685
8/31/2018,725
9/1/2018,725
9/2/2018,725
9/3/2018,750
9/3/2018,740
9/3/2018,785
9/5/2018,705
9/6/2018,750
9/7/2018,650
9/9/2018,950
9/11/2018,685
9/13/2018,646
9/13/2018,800
9/15/2018,750
9/15/2018,750
9/17/2018,790
9/18/2018,729
9/19/2018,625
9/19/2018,700
9/19/2018,672
9/20/2018,725
9/20/2018,1100
9/21/2018,708
9/21/2018,710
9/22/2018,700
9/22/2018,680
9/23/2018,660
9/23/2018,700
9/24/2018,615
9/24/2018,730
9/25/2018,715
9/25/2018,637
9/25/2018,730
