OrderDate,SalesPrice
10/21/2017,1825
11/10/2017,1000
11/10/2017,1000
11/11/2017,1444
11/13/2017,1455
11/14/2017,1286
11/14/2017,1250
11/15/2017,1400
11/15/2017,1200
11/16/2017,1140
11/16/2017,952
11/16/2017,940
11/16/2017,920
11/16/2017,925
11/16/2017,1175
11/16/2017,960
11/16/2017,915
11/16/2017,950
11/16/2017,1019
11/16/2017,876
11/16/2017,1000
11/16/2017,1050
11/16/2017,1010
11/17/2017,750
11/17/2017,866
11/17/2017,923
11/17/2017,900
11/17/2017,900
11/17/2017,940
11/17/2017,870
11/17/2017,875
11/17/2017,880
11/17/2017,900
11/17/2017,895
11/17/2017,975
11/17/2017,875
11/17/2017,850
11/18/2017,935
11/18/2017,870
11/18/2017,875
11/18/2017,820
11/18/2017,896
11/18/2017,836
11/18/2017,940
11/18/2017,1050
11/18/2017,812
11/18/2017,840
11/18/2017,851
11/18/2017,866
11/18/2017,990
11/18/2017,901
11/18/2017,965
11/18/2017,870
11/18/2017,899
11/18/2017,945
11/18/2017,949
11/18/2017,920
11/18/2017,923
11/18/2017,880
11/18/2017,850
11/18/2017,785
11/18/2017,820
11/18/2017,1050
11/18/2017,1175
11/18/2017,925
11/18/2017,921
11/18/2017,920
11/18/2017,920
11/18/2017,830
11/18/2017,880
11/18/2017,898
11/18/2017,897
11/18/2017,955
11/19/2017,800
11/19/2017,904
11/19/2017,879
11/19/2017,876
11/19/2017,845
11/19/2017,755
11/19/2017,865
11/19/2017,990
11/19/2017,878
11/19/2017,860
11/19/2017,850
11/19/2017,1075
11/19/2017,926
11/19/2017,900
11/19/2017,850
11/19/2017,880
11/19/2017,820
11/19/2017,901
11/19/2017,840
11/19/2017,855
11/20/2017,825
11/20/2017,915
11/20/2017,787
11/20/2017,760
11/20/2017,801
11/20/2017,855
11/20/2017,870
11/20/2017,885
11/20/2017,925
11/20/2017,790
11/20/2017,837
11/20/2017,813
11/20/2017,841
11/20/2017,920
11/20/2017,880
11/20/2017,860
11/20/2017,770
11/20/2017,898
11/20/2017,1000
11/20/2017,786
11/20/2017,838
11/20/2017,865
11/20/2017,875
11/20/2017,835
11/20/2017,806
11/21/2017,685
11/21/2017,750
11/21/2017,770
11/21/2017,800
11/21/2017,831
11/21/2017,840
11/21/2017,789
11/21/2017,771
11/21/2017,835
11/21/2017,810
11/21/2017,800
11/21/2017,785
11/21/2017,835
11/21/2017,800
11/21/2017,802
11/21/2017,740
11/21/2017,766
11/21/2017,800
11/21/2017,850
11/21/2017,735
11/21/2017,841
11/21/2017,725
11/21/2017,850
11/22/2017,835
11/22/2017,748
11/22/2017,687
11/22/2017,790
11/22/2017,757
11/22/2017,752
11/22/2017,815
11/22/2017,895
11/22/2017,731
11/22/2017,745
11/22/2017,700
11/22/2017,754
11/22/2017,792
11/22/2017,745
11/22/2017,720
11/22/2017,736
11/22/2017,770
11/22/2017,800
11/22/2017,750
11/22/2017,745
11/22/2017,787
11/22/2017,690
11/22/2017,717
11/22/2017,803
11/22/2017,700
11/22/2017,713
11/22/2017,700
11/22/2017,740
11/22/2017,770
11/22/2017,813
11/22/2017,855
11/23/2017,675
11/23/2017,700
11/23/2017,739
11/23/2017,825
11/23/2017,720
11/23/2017,705
11/23/2017,708
11/23/2017,699
11/23/2017,686
11/23/2017,730
11/23/2017,710
11/23/2017,689
11/23/2017,705
11/23/2017,825
11/23/2017,685
11/23/2017,721
11/23/2017,700
11/23/2017,785
