OrderDate,SalesPrice
9/30/2018,380
10/5/2018,450
11/1/2018,475
11/2/2018,320
11/6/2018,499
11/8/2018,500
11/11/2018,410
11/11/2018,501
11/12/2018,450
11/13/2018,450
11/14/2018,500
11/14/2018,410
11/14/2018,361
11/14/2018,375
11/14/2018,392
11/14/2018,350
11/14/2018,400
11/15/2018,334
11/15/2018,340
11/15/2018,340
11/15/2018,370
11/15/2018,357
11/16/2018,374
11/16/2018,380
11/16/2018,320
11/16/2018,354
11/16/2018,360
11/16/2018,330
11/16/2018,375
11/16/2018,375
11/16/2018,350
11/16/2018,365
11/16/2018,379
11/17/2018,355
11/17/2018,355
11/17/2018,320
11/17/2018,380
11/17/2018,400
11/17/2018,315
11/17/2018,326
11/17/2018,360
11/17/2018,359
11/17/2018,326
11/18/2018,306
11/18/2018,345
11/18/2018,314
11/18/2018,332
11/18/2018,335
11/18/2018,309
11/18/2018,330
11/18/2018,343
11/18/2018,360
11/18/2018,350
11/18/2018,335
11/18/2018,300
11/19/2018,330
11/19/2018,275
11/19/2018,337
11/19/2018,280
11/19/2018,275
11/19/2018,299
11/19/2018,310
11/19/2018,361
11/19/2018,300
11/19/2018,329
11/19/2018,339
11/19/2018,312
11/19/2018,325
11/19/2018,310
11/19/2018,330
11/19/2018,300
11/19/2018,338
11/19/2018,305
11/19/2018,300
11/20/2018,285
11/20/2018,285
11/20/2018,297
11/20/2018,296
11/20/2018,295
11/20/2018,315
11/20/2018,299
11/20/2018,296
11/20/2018,286
11/20/2018,284
11/20/2018,315
11/20/2018,299
11/20/2018,302
11/20/2018,350
11/20/2018,281
11/20/2018,299
11/20/2018,306
11/20/2018,318
11/20/2018,301
11/20/2018,294
11/20/2018,303
11/20/2018,365
11/20/2018,300
11/20/2018,287
11/20/2018,320
11/20/2018,310
11/20/2018,290
11/20/2018,325
11/20/2018,310
11/21/2018,281
11/21/2018,285
11/21/2018,299
11/21/2018,280
11/21/2018,282
11/21/2018,280
11/21/2018,283
11/21/2018,292
11/21/2018,287
