OrderDate,SalesPrice
12/10/2018,775
12/13/2018,600
12/13/2018,535
12/14/2018,800
12/14/2018,600
12/14/2018,425
12/14/2018,800
12/14/2018,530
12/15/2018,425
12/15/2018,400
12/15/2018,445
12/15/2018,431
12/15/2018,406
12/15/2018,400
12/16/2018,498
12/16/2018,480
12/16/2018,418
12/16/2018,357
12/16/2018,487
12/17/2018,350
12/17/2018,398
12/17/2018,475
12/17/2018,408
12/17/2018,389
12/17/2018,392
12/17/2018,385
12/17/2018,400
12/17/2018,425
12/17/2018,380
12/17/2018,375
12/17/2018,391
12/17/2018,477
12/17/2018,400
12/17/2018,386
12/18/2018,355
12/18/2018,389
12/18/2018,370
12/18/2018,386
12/18/2018,370
12/18/2018,365
12/18/2018,450
12/18/2018,356
12/18/2018,389
12/18/2018,389
12/18/2018,400
12/18/2018,366
12/18/2018,380
12/18/2018,390
12/18/2018,451
12/18/2018,360
12/18/2018,430
12/18/2018,400
12/18/2018,380
12/18/2018,390
12/18/2018,550
12/18/2018,399
12/18/2018,460
12/18/2018,382
12/18/2018,399
12/18/2018,350
12/18/2018,387
12/18/2018,376
12/18/2018,400
12/18/2018,528
12/19/2018,385
12/19/2018,350
12/19/2018,325
12/19/2018,350
12/19/2018,378
12/19/2018,389
12/19/2018,360
12/19/2018,390
12/19/2018,374
12/19/2018,379
12/19/2018,380
12/19/2018,389
12/19/2018,340
12/19/2018,326
12/19/2018,350
12/19/2018,340
12/19/2018,337
12/19/2018,370
12/19/2018,360
12/19/2018,389
12/19/2018,480
12/19/2018,350
12/19/2018,430
12/19/2018,330
12/19/2018,380
12/19/2018,331
12/19/2018,375
12/19/2018,375
12/19/2018,371
12/19/2018,370
12/19/2018,340
12/20/2018,360
12/20/2018,350
12/20/2018,369
12/20/2018,375
12/20/2018,340
12/20/2018,365
12/20/2018,399
12/20/2018,409
12/20/2018,359
12/20/2018,365
12/20/2018,305
12/20/2018,330
12/20/2018,390
12/20/2018,340
12/20/2018,360
12/20/2018,344
12/20/2018,350
12/20/2018,365
12/20/2018,370
12/20/2018,340
12/20/2018,335
12/20/2018,354
12/20/2018,360
12/20/2018,353
12/20/2018,348
12/20/2018,305
12/20/2018,384
