OrderDate,SalesPrice
9/1/2017,570
9/1/2017,525
9/1/2017,658
9/1/2017,650
9/1/2017,610
9/1/2017,589
9/1/2017,850
9/1/2017,546
9/1/2017,586
9/1/2017,640
9/2/2017,572
9/2/2017,580
9/2/2017,590
9/2/2017,625
9/2/2017,595
9/2/2017,589
9/2/2017,635
9/3/2017,585
9/3/2017,650
9/3/2017,563
9/3/2017,695
9/3/2017,595
9/4/2017,630
9/4/2017,650
9/4/2017,605
9/4/2017,575
9/4/2017,659
9/4/2017,594
9/4/2017,625
9/4/2017,530
9/5/2017,655
9/5/2017,575
9/5/2017,580
9/5/2017,600
9/5/2017,665
9/5/2017,623
9/5/2017,583
9/5/2017,652
9/6/2017,640
9/6/2017,667
9/6/2017,749
9/6/2017,655
9/6/2017,645
9/6/2017,600
9/6/2017,545
9/7/2017,660
9/7/2017,579
9/7/2017,615
9/7/2017,575
9/8/2017,564
9/8/2017,670
9/8/2017,645
9/8/2017,666
9/8/2017,645
9/8/2017,580
9/8/2017,600
9/9/2017,608
9/9/2017,567
9/9/2017,580
9/9/2017,587
9/9/2017,580
9/10/2017,635
9/10/2017,625
9/10/2017,665
9/10/2017,579
9/10/2017,620
9/11/2017,630
9/11/2017,622
9/11/2017,580
9/11/2017,650
9/11/2017,628
9/11/2017,567
9/12/2017,565
9/12/2017,675
9/12/2017,745
9/12/2017,745
9/12/2017,567
9/12/2017,631
9/12/2017,630
9/12/2017,630
9/12/2017,610
9/13/2017,606
9/13/2017,624
9/13/2017,691
9/13/2017,619
9/13/2017,785
9/13/2017,599
9/13/2017,625
9/13/2017,620
9/14/2017,626
9/14/2017,635
9/14/2017,570
9/14/2017,599
9/14/2017,608
9/14/2017,570
9/14/2017,569
9/14/2017,625
9/15/2017,567
9/15/2017,679
9/15/2017,603
9/15/2017,620
9/15/2017,635
9/15/2017,625
9/15/2017,701
9/15/2017,618
9/16/2017,594
9/16/2017,550
9/16/2017,719
9/16/2017,634
9/17/2017,610
9/17/2017,575
9/17/2017,594
9/17/2017,625
9/18/2017,624
9/18/2017,605
9/18/2017,602
9/18/2017,599
9/18/2017,627
9/18/2017,650
9/18/2017,600
9/18/2017,630
9/19/2017,575
9/19/2017,611
9/19/2017,610
9/19/2017,633
9/19/2017,640
9/20/2017,560
9/20/2017,625
9/20/2017,565
9/20/2017,629
9/20/2017,590
9/20/2017,590
9/20/2017,627
9/20/2017,688
9/20/2017,620
9/20/2017,570
9/21/2017,595
9/21/2017,575
9/21/2017,570
9/21/2017,646
9/21/2017,590
9/21/2017,590
9/22/2017,611
9/22/2017,670
9/22/2017,620
9/22/2017,611
9/22/2017,590
9/22/2017,628
9/23/2017,630
9/23/2017,575
9/23/2017,575
9/23/2017,720
9/23/2017,650
9/23/2017,635
9/24/2017,630
9/24/2017,630
9/24/2017,629
9/24/2017,590
9/24/2017,725
9/25/2017,810
9/25/2017,589
9/25/2017,585
9/25/2017,600
9/25/2017,590
9/25/2017,730
9/25/2017,834
9/25/2017,655
9/26/2017,542
9/26/2017,605
9/26/2017,635
9/26/2017,581
9/26/2017,589
9/26/2017,613
9/26/2017,714
9/27/2017,678
9/27/2017,740
9/27/2017,639
9/27/2017,600
9/27/2017,630
