OrderDate,SalesPrice
9/8/2017,2450
9/8/2017,2325
9/9/2017,2799
9/9/2017,2550
9/10/2017,2100
9/11/2017,2140
9/12/2017,1907
9/13/2017,2100
9/13/2017,1900
9/13/2017,2000
9/14/2017,1700
9/14/2017,2110
9/14/2017,2050
9/15/2017,2100
9/15/2017,1815
9/15/2017,2100
9/15/2017,1999
9/16/2017,1900
9/16/2017,1850
9/17/2017,1910
9/18/2017,1800
9/18/2017,1725
9/19/2017,1772
9/19/2017,2000
9/20/2017,1950
9/20/2017,1770
9/21/2017,1850
9/21/2017,1900
9/21/2017,1950
9/22/2017,1800
9/23/2017,1890
9/23/2017,1886
9/24/2017,1786
9/25/2017,1980
9/26/2017,1801
9/27/2017,1750
9/27/2017,1700
9/28/2017,1885
9/29/2017,1914
9/29/2017,1760
9/30/2017,1879
10/1/2017,1975
10/2/2017,2000
10/2/2017,2005
10/3/2017,1756
10/3/2017,1947
10/4/2017,1950
10/6/2017,1820
10/8/2017,1950
10/9/2017,1870
10/10/2017,1908
10/13/2017,1700
10/13/2017,1800
10/13/2017,1999
10/13/2017,1799
10/22/2017,1899
10/25/2017,1700
10/25/2017,1990
10/27/2017,2100
10/30/2017,1660
10/31/2017,1650
11/2/2017,1820
11/2/2017,1855
11/2/2017,1650
11/3/2017,1650
11/4/2017,1704
11/6/2017,1660
11/7/2017,1550
11/7/2017,2140
11/7/2017,1601
11/8/2017,1550
11/8/2017,1300
11/8/2017,1501
11/8/2017,1505
11/8/2017,1399
11/8/2017,1360
11/8/2017,1400
11/8/2017,1450
11/8/2017,1380
11/8/2017,1650
11/9/2017,1381
11/9/2017,1401
11/9/2017,1250
11/9/2017,1235
11/9/2017,1050
11/9/2017,1180
11/9/2017,1350
11/9/2017,1400
11/9/2017,1398
11/9/2017,1800
11/10/2017,1400
11/10/2017,1279
11/10/2017,1420
11/10/2017,1330
11/10/2017,1160
11/11/2017,1380
11/11/2017,1700
11/11/2017,1275
11/12/2017,1320
11/12/2017,1500
11/12/2017,1500
11/12/2017,1499
11/13/2017,1405
11/13/2017,1400
11/13/2017,1395
11/13/2017,1750
11/14/2017,1435
11/14/2017,1480
11/14/2017,1376
11/14/2017,1520
11/14/2017,1275
11/15/2017,1375
11/15/2017,1265
11/15/2017,1352
11/15/2017,1350
11/15/2017,1250
11/15/2017,1360
11/15/2017,1201
11/16/2017,1450
11/16/2017,1316
11/16/2017,1350
11/17/2017,1325
11/17/2017,1315
11/17/2017,1250
11/17/2017,1363
11/17/2017,1320
11/18/2017,1300
11/18/2017,1260
11/18/2017,1210
11/18/2017,1300
11/18/2017,1305
11/18/2017,1250
11/18/2017,1565
11/18/2017,1201
11/18/2017,1200
11/19/2017,1050
11/19/2017,1255
11/19/2017,1225
11/19/2017,1200
11/19/2017,1290
11/19/2017,1137
11/19/2017,1200
11/19/2017,1290
11/19/2017,1200
11/19/2017,1160
11/19/2017,1275
11/19/2017,1100
11/20/2017,1097
11/20/2017,1280
11/20/2017,1150
11/20/2017,1250
11/20/2017,1600
11/20/2017,1225
11/20/2017,1155
11/20/2017,1162
11/20/2017,1250
11/20/2017,1190
11/20/2017,1250
11/20/2017,1299
11/20/2017,1300
11/20/2017,1115
11/21/2017,1170
11/21/2017,1225
11/21/2017,1199
11/21/2017,1190
11/21/2017,1250
11/21/2017,1137
11/21/2017,1085
11/21/2017,1300
11/21/2017,1124
11/22/2017,2000
11/22/2017,1200
11/22/2017,1637
11/22/2017,1200
11/22/2017,1300
11/22/2017,1141
11/22/2017,1225
11/22/2017,1125
11/22/2017,1150
11/22/2017,1260
11/23/2017,1180
11/23/2017,2000
11/23/2017,1209
11/23/2017,1200
11/23/2017,1250
11/23/2017,1300
11/23/2017,1180
11/23/2017,1204
11/24/2017,1310
11/24/2017,1100
11/24/2017,1100
11/24/2017,1199
11/24/2017,1202
11/24/2017,1267
11/24/2017,1200
11/24/2017,1200
11/24/2017,1230
11/24/2017,1140
11/24/2017,1111
11/24/2017,1199
11/25/2017,1150
11/25/2017,1240
11/25/2017,1200
11/25/2017,1600
11/25/2017,1100
11/25/2017,1120
11/25/2017,1135
11/25/2017,1160
11/26/2017,1202
11/26/2017,1109
11/26/2017,1180
11/26/2017,1800
11/26/2017,1280
11/27/2017,1250
11/27/2017,1035
11/27/2017,1200
11/27/2017,1264
11/27/2017,1260
11/27/2017,1190
11/27/2017,1399
11/27/2017,1112
11/27/2017,1300
11/27/2017,1110
