OrderDate,SalesPrice
2/24/2018,2180
2/25/2018,1700
2/25/2018,1601
2/25/2018,2475
2/25/2018,1900
2/26/2018,1650
2/26/2018,1900
2/26/2018,1850
2/27/2018,1840
2/27/2018,1805
2/28/2018,1625
2/28/2018,2023
3/1/2018,1899
3/1/2018,1822
3/2/2018,2560
3/2/2018,1940
3/2/2018,1735
3/2/2018,1751
3/2/2018,1700
3/2/2018,1600
3/2/2018,1990
3/2/2018,1675
3/3/2018,1700
3/3/2018,1720
3/3/2018,1725
3/3/2018,1949
3/3/2018,1700
3/3/2018,1795
3/3/2018,1655
3/3/2018,1799
3/3/2018,1700
3/3/2018,1600
3/3/2018,1685
3/3/2018,1699
3/3/2018,1799
3/3/2018,1719
3/3/2018,1610
3/3/2018,1700
3/3/2018,1800
3/3/2018,1730
3/3/2018,1858
3/4/2018,1710
3/4/2018,1870
3/4/2018,1900
3/4/2018,1875
3/4/2018,1750
3/4/2018,1800
3/4/2018,1950
3/5/2018,1915
3/5/2018,1922
3/5/2018,1850
3/5/2018,1620
3/5/2018,1970
3/6/2018,1731
3/6/2018,1810
3/6/2018,1600
3/6/2018,2350
3/6/2018,1870
3/6/2018,2000
3/6/2018,1680
3/7/2018,1650
3/7/2018,1700
3/7/2018,1750
3/7/2018,1600
3/7/2018,1780
3/7/2018,1715
3/7/2018,1666
3/7/2018,1650
3/7/2018,1625
3/7/2018,1650
3/8/2018,1650
3/8/2018,1631
3/8/2018,1795
3/8/2018,1650
3/8/2018,1650
3/8/2018,1715
3/8/2018,1705
3/8/2018,1652
3/9/2018,1700
3/9/2018,1780
3/9/2018,1700
3/9/2018,1645
3/9/2018,1650
3/9/2018,1660
3/10/2018,1700
3/10/2018,1590
3/10/2018,1700
3/11/2018,1620
3/11/2018,1695
3/11/2018,1575
3/11/2018,1600
3/11/2018,1660
3/12/2018,1690
3/12/2018,1700
3/12/2018,1609
3/13/2018,1660
3/13/2018,1900
3/13/2018,1780
3/14/2018,1620
3/14/2018,1651
3/14/2018,1680
3/14/2018,1695
3/15/2018,1675
3/15/2018,1705
3/16/2018,1709
3/16/2018,1585
3/17/2018,1700
3/17/2018,1680
3/18/2018,1694
3/18/2018,1972
3/19/2018,1647
3/19/2018,1600
3/20/2018,1720
3/20/2018,1690
3/20/2018,1571
3/21/2018,1611
3/22/2018,1550
3/23/2018,1550
3/23/2018,1610
3/24/2018,1600
3/24/2018,1556
3/24/2018,1655
3/24/2018,1600
3/25/2018,1730
3/25/2018,1528
3/26/2018,1665
3/26/2018,1575
3/26/2018,1560
3/27/2018,1695
3/27/2018,1795
3/28/2018,1625
3/28/2018,1900
3/28/2018,1750
3/29/2018,1601
3/29/2018,1506
3/30/2018,1800
3/30/2018,1724
3/31/2018,1760
4/1/2018,1850
4/2/2018,1650
4/3/2018,1620
4/3/2018,1656
4/4/2018,1875
4/4/2018,1755
4/5/2018,1679
4/5/2018,1560
4/6/2018,1700
4/6/2018,1780
4/7/2018,1680
4/7/2018,1800
4/8/2018,1700
4/8/2018,1684
4/9/2018,1546
4/10/2018,1730
4/11/2018,1580
4/12/2018,1750
4/12/2018,1651
4/13/2018,1725
4/15/2018,1798
4/15/2018,1770
4/16/2018,1720
4/17/2018,1650
4/19/2018,1795
4/19/2018,1680
4/21/2018,1730
4/22/2018,1725
4/22/2018,1800
4/24/2018,1764
4/25/2018,1689
4/25/2018,1710
4/26/2018,1785
4/26/2018,1800
4/28/2018,1850
4/30/2018,1850
5/1/2018,1685
5/2/2018,1640
5/3/2018,1700
5/3/2018,1810
5/4/2018,1775
5/5/2018,1687
5/6/2018,1888
5/8/2018,1681
5/8/2018,1735
5/9/2018,1890
5/10/2018,1899
5/11/2018,1641
5/12/2018,1880
5/15/2018,1900
5/16/2018,1800
5/17/2018,1900
5/19/2018,1900
5/19/2018,1800
5/20/2018,1570
5/22/2018,1973
5/23/2018,1792
5/24/2018,1925
5/24/2018,1840
5/25/2018,1950
5/26/2018,1998
5/27/2018,1810
5/29/2018,1601
5/30/2018,1950
5/30/2018,1685
5/30/2018,1600
5/30/2018,1500
5/31/2018,1869
6/1/2018,1831
6/4/2018,2000
6/4/2018,1999
6/8/2018,1711
