OrderDate,SalesPrice
10/22/2017,1000
10/23/2017,770
10/23/2017,750
10/25/2017,650
10/25/2017,745
10/26/2017,799
10/26/2017,625
10/28/2017,775
10/30/2017,867
10/30/2017,800
10/31/2017,750
11/1/2017,900
11/2/2017,750
11/2/2017,750
11/6/2017,800
11/7/2017,700
11/9/2017,820
11/13/2017,852
11/14/2017,790
11/15/2017,770
11/15/2017,750
11/16/2017,580
11/16/2017,740
11/16/2017,650
11/16/2017,750
11/17/2017,540
11/17/2017,660
11/17/2017,585
11/17/2017,600
11/17/2017,579
11/18/2017,600
11/18/2017,510
11/18/2017,620
11/18/2017,1350
11/18/2017,635
11/19/2017,551
11/19/2017,480
11/19/2017,530
11/19/2017,500
11/19/2017,581
11/19/2017,494
11/19/2017,430
11/19/2017,565
11/19/2017,480
11/19/2017,511
11/19/2017,550
11/19/2017,616
11/19/2017,462
11/19/2017,390
11/19/2017,490
11/19/2017,558
11/19/2017,464
11/20/2017,435
11/20/2017,460
11/20/2017,470
11/20/2017,500
11/20/2017,479
11/20/2017,575
11/20/2017,448
11/20/2017,429
11/20/2017,491
11/20/2017,485
11/20/2017,520
11/20/2017,450
11/20/2017,402
11/21/2017,500
11/21/2017,460
11/21/2017,550
11/21/2017,530
11/21/2017,575
11/21/2017,544
11/22/2017,545
11/22/2017,560
11/22/2017,546
11/22/2017,540
11/22/2017,530
11/22/2017,500
11/23/2017,605
11/23/2017,510
11/23/2017,550
11/23/2017,540
11/23/2017,528
11/24/2017,495
11/24/2017,491
11/24/2017,470
11/24/2017,500
11/24/2017,530
11/24/2017,440
11/24/2017,505
11/24/2017,539
11/24/2017,546
11/24/2017,536
11/24/2017,480
11/24/2017,560
11/24/2017,475
11/25/2017,385
11/25/2017,515
11/25/2017,450
11/25/2017,500
11/25/2017,501
11/25/2017,420
11/25/2017,575
11/25/2017,555
11/25/2017,481
11/26/2017,475
11/26/2017,505
11/26/2017,465
11/26/2017,550
11/26/2017,550
11/26/2017,481
11/27/2017,550
11/27/2017,525
11/27/2017,538
11/27/2017,511
11/27/2017,455
11/27/2017,477
11/27/2017,465
11/27/2017,475
11/27/2017,520
11/27/2017,437
11/27/2017,511
11/28/2017,470
11/28/2017,396
11/28/2017,446
11/28/2017,460
11/28/2017,450
11/28/2017,445
11/28/2017,395
11/29/2017,420
11/29/2017,555
11/29/2017,550
11/29/2017,455
11/29/2017,570
11/29/2017,513
11/29/2017,390
11/29/2017,550
11/30/2017,511
11/30/2017,479
11/30/2017,506
11/30/2017,520
11/30/2017,530
11/30/2017,456
11/30/2017,601
11/30/2017,500
11/30/2017,527
12/1/2017,465
12/1/2017,400
12/1/2017,450
12/1/2017,530
12/1/2017,520
12/1/2017,680
12/1/2017,500
12/2/2017,550
12/2/2017,500
12/2/2017,489
12/2/2017,459
12/3/2017,475
12/3/2017,470
12/3/2017,480
12/3/2017,460
12/4/2017,470
12/4/2017,495
12/4/2017,550
12/4/2017,475
12/5/2017,529
12/5/2017,470
12/5/2017,499
12/5/2017,540
12/6/2017,450
12/6/2017,560
12/6/2017,540
12/6/2017,572
12/6/2017,525
12/6/2017,517
12/7/2017,470
12/7/2017,470
12/8/2017,490
12/8/2017,566
12/8/2017,485
12/8/2017,526
12/8/2017,436
12/8/2017,468
12/8/2017,550
12/9/2017,525
12/9/2017,425
12/9/2017,475
12/10/2017,470
12/10/2017,470
12/10/2017,470
12/10/2017,485
12/11/2017,510
12/11/2017,470
12/12/2017,472
12/12/2017,625
12/13/2017,520
12/13/2017,475
12/14/2017,850
12/14/2017,516
12/15/2017,475
12/15/2017,476
12/15/2017,650
12/15/2017,450
12/16/2017,510
12/16/2017,500
12/16/2017,510
12/16/2017,530
12/17/2017,480
12/17/2017,479
12/17/2017,480
12/18/2017,545
12/18/2017,495
12/18/2017,550
12/19/2017,575
12/19/2017,800
12/19/2017,495
12/19/2017,495
12/19/2017,560
12/20/2017,490
12/20/2017,500
12/21/2017,590
12/22/2017,536
12/22/2017,525
12/23/2017,565
12/23/2017,527
12/24/2017,460
12/24/2017,450
12/25/2017,570
12/26/2017,476
12/26/2017,500
12/27/2017,550
12/27/2017,570
12/28/2017,800
12/28/2017,564
12/28/2017,486
12/29/2017,500
12/29/2017,510
12/30/2017,580
12/31/2017,850
12/31/2017,570
1/1/2018,525
1/1/2018,599
1/2/2018,850
1/2/2018,600
1/3/2018,600
1/3/2018,580
1/4/2018,575
1/4/2018,566
1/5/2018,619
1/5/2018,500
1/5/2018,495
1/5/2018,580
1/5/2018,520
1/5/2018,500
1/6/2018,600
1/7/2018,600
1/7/2018,580
1/9/2018,476
1/9/2018,475
1/10/2018,649
1/10/2018,550
1/10/2018,475
1/11/2018,612
1/11/2018,625
1/11/2018,600
1/11/2018,599
1/12/2018,570
1/12/2018,525
1/13/2018,651
1/13/2018,650
1/14/2018,680
1/14/2018,650
1/15/2018,615
1/15/2018,625
1/17/2018,686
1/18/2018,721
1/18/2018,710
1/19/2018,706
1/20/2018,785
1/20/2018,700
1/21/2018,660
1/21/2018,701
1/22/2018,656
1/23/2018,630
1/24/2018,606
1/26/2018,750
1/26/2018,669
1/27/2018,671
1/28/2018,700
1/29/2018,834
1/30/2018,565
1/30/2018,680
1/31/2018,636
1/31/2018,700
2/1/2018,687
2/3/2018,786
2/4/2018,860
2/5/2018,880
2/6/2018,665
2/7/2018,750
2/8/2018,703
2/9/2018,750
2/11/2018,900
2/12/2018,796
2/13/2018,1100
2/13/2018,615
2/14/2018,680
2/16/2018,779
2/17/2018,700
2/19/2018,900
2/19/2018,860
2/20/2018,720
2/20/2018,710
2/21/2018,730
2/22/2018,866
2/22/2018,720
2/23/2018,1100
2/24/2018,900
2/24/2018,710
2/25/2018,619
2/26/2018,960
2/28/2018,600
2/28/2018,926
3/2/2018,700
3/3/2018,760
3/4/2018,900
3/5/2018,841
3/6/2018,900
3/6/2018,780
3/7/2018,805
3/8/2018,870
3/8/2018,900
3/10/2018,920
3/12/2018,839
3/14/2018,920
3/14/2018,845
3/16/2018,850
3/16/2018,840
3/18/2018,649
3/20/2018,899
3/21/2018,876
3/23/2018,845
3/26/2018,690
3/26/2018,792
3/28/2018,844
3/30/2018,899
3/31/2018,699
4/2/2018,1140
4/3/2018,1036
4/4/2018,795
4/6/2018,690
4/8/2018,751
4/9/2018,910
4/9/2018,901
4/11/2018,980
4/12/2018,803
4/14/2018,950
4/16/2018,1050
4/17/2018,1035
4/18/2018,940
4/19/2018,675
4/19/2018,700
4/21/2018,870
4/22/2018,1235
4/26/2018,830
5/3/2018,1149
5/5/2018,780
5/6/2018,875
5/7/2018,850
5/8/2018,1050
5/10/2018,625
5/11/2018,1020
5/12/2018,1245
5/14/2018,915
5/15/2018,925
5/16/2018,900
5/21/2018,850
5/21/2018,1111
5/23/2018,860
5/23/2018,1092
5/25/2018,749
5/25/2018,900
5/26/2018,915
5/27/2018,899
5/27/2018,1150
5/30/2018,1200
6/2/2018,1300
6/6/2018,880
6/11/2018,1148
6/14/2018,760
6/15/2018,950
6/19/2018,838
6/20/2018,1145
6/21/2018,844
6/21/2018,820
6/26/2018,900
6/27/2018,1075
7/4/2018,1060
7/9/2018,808
7/10/2018,920
7/11/2018,845
7/21/2018,1110
7/22/2018,1100
7/25/2018,925
8/1/2018,1190
8/2/2018,1055
8/6/2018,1135
8/7/2018,903
8/8/2018,975
8/9/2018,1196
8/10/2018,1088
8/11/2018,1200
8/12/2018,1150
8/15/2018,800
8/17/2018,1100
8/18/2018,1210
8/20/2018,1250
8/22/2018,1199
8/23/2018,750
8/25/2018,1200
8/28/2018,901
8/29/2018,1500
8/30/2018,1300
9/1/2018,849
9/4/2018,820
9/6/2018,1366
9/10/2018,1000
9/13/2018,982
9/14/2018,900
9/15/2018,750
9/17/2018,1349
9/19/2018,740
9/26/2018,1025
10/5/2018,1199
10/6/2018,1070
10/9/2018,1200
10/10/2018,1250
10/13/2018,1250
10/18/2018,1400
10/21/2018,1183
10/24/2018,1150
10/28/2018,1060
10/29/2018,940
10/30/2018,931
10/31/2018,965
10/31/2018,1000
11/1/2018,736
11/3/2018,1650
11/6/2018,938
11/8/2018,1382
11/13/2018,1220
11/14/2018,965
11/16/2018,1280
11/19/2018,949
11/23/2018,1275
11/25/2018,1350
11/27/2018,650
12/2/2018,1065
12/6/2018,920
12/7/2018,1024
12/11/2018,874
12/15/2018,1140
12/16/2018,1392
12/20/2018,1350
12/26/2018,1349
12/30/2018,927
1/6/2019,1350
1/9/2019,1450
1/11/2019,1000
1/15/2019,1475
1/16/2019,1105
1/17/2019,1300
1/28/2019,1199
1/29/2019,1100
2/2/2019,952
2/11/2019,1135
2/13/2019,1315
