OrderDate,SalesPrice
12/29/2018,751
1/2/2019,720
1/3/2019,800
1/4/2019,675
1/5/2019,630
1/6/2019,700
1/7/2019,575
1/8/2019,650
1/8/2019,666
1/9/2019,635
1/10/2019,635
1/10/2019,650
1/11/2019,625
1/11/2019,625
1/12/2019,550
1/13/2019,723
1/13/2019,722
1/14/2019,730
1/14/2019,675
1/14/2019,619
1/14/2019,650
1/14/2019,680
1/15/2019,462
1/15/2019,551
1/15/2019,555
1/15/2019,650
1/15/2019,775
1/15/2019,560
1/16/2019,546
1/17/2019,675
1/17/2019,616
1/18/2019,717
1/18/2019,680
1/19/2019,540
1/19/2019,557
1/20/2019,700
1/21/2019,790
1/21/2019,700
1/22/2019,540
1/22/2019,705
1/22/2019,675
1/22/2019,557
1/23/2019,565
1/23/2019,655
1/23/2019,620
1/23/2019,490
1/23/2019,550
1/23/2019,586
1/23/2019,560
1/23/2019,700
1/24/2019,600
1/24/2019,654
1/24/2019,655
1/24/2019,585
1/25/2019,600
1/25/2019,620
1/25/2019,610
1/25/2019,595
1/25/2019,625
1/25/2019,575
1/26/2019,491
1/26/2019,619
1/27/2019,650
1/27/2019,699
1/28/2019,650
1/28/2019,600
1/28/2019,572
1/28/2019,680
1/28/2019,635
1/28/2019,561
1/29/2019,591
1/29/2019,599
1/29/2019,602
1/29/2019,392
1/29/2019,550
1/29/2019,685
1/29/2019,586
1/30/2019,588
1/30/2019,500
1/30/2019,640
1/30/2019,630
1/30/2019,556
1/30/2019,610
1/30/2019,525
1/30/2019,600
1/30/2019,530
1/30/2019,550
1/30/2019,574
1/30/2019,550
1/31/2019,557
1/31/2019,552
1/31/2019,665
1/31/2019,551
1/31/2019,598
1/31/2019,556
2/1/2019,598
2/1/2019,586
2/1/2019,584
2/1/2019,550
2/1/2019,577
2/1/2019,475
2/1/2019,512
2/1/2019,550
2/2/2019,593
2/2/2019,550
2/2/2019,591
2/3/2019,586
2/3/2019,597
2/3/2019,572
2/3/2019,619
2/4/2019,605
2/4/2019,552
2/4/2019,451
2/4/2019,590
2/4/2019,565
2/4/2019,591
2/4/2019,620
2/5/2019,550
2/5/2019,541
2/5/2019,589
2/5/2019,540
2/5/2019,570
2/5/2019,615
2/5/2019,575
2/5/2019,590
2/5/2019,562
2/5/2019,570
2/5/2019,485
2/5/2019,569
2/6/2019,530
2/6/2019,502
2/6/2019,555
2/6/2019,551
2/6/2019,531
2/6/2019,505
2/6/2019,516
2/6/2019,569
2/6/2019,515
2/6/2019,510
2/6/2019,492
2/6/2019,511
2/6/2019,505
2/6/2019,511
2/6/2019,528
2/6/2019,530
2/6/2019,505
2/6/2019,520
2/6/2019,501
2/6/2019,505
2/6/2019,515
2/6/2019,550
2/6/2019,515
2/6/2019,498
2/6/2019,525
2/6/2019,502
2/6/2019,476
2/6/2019,537
2/6/2019,520
2/6/2019,511
2/6/2019,519
2/6/2019,505
2/6/2019,514
2/6/2019,525
2/6/2019,507
2/6/2019,515
2/6/2019,493
2/6/2019,510
2/6/2019,505
2/6/2019,551
2/6/2019,510
2/6/2019,506
2/6/2019,497
2/6/2019,511
2/6/2019,521
2/6/2019,500
2/6/2019,490
2/6/2019,500
2/6/2019,476
2/6/2019,518
2/6/2019,567
2/6/2019,520
2/6/2019,570
2/6/2019,512
2/6/2019,505
2/6/2019,508
2/6/2019,455
2/6/2019,497
2/6/2019,470
2/6/2019,481
2/6/2019,483
2/6/2019,552
2/6/2019,510
2/6/2019,765
2/6/2019,476
2/6/2019,492
2/6/2019,516
2/6/2019,500
2/6/2019,500
2/6/2019,555
2/6/2019,505
