OrderDate,SalesPrice
1/7/2019,550
1/7/2019,600
1/8/2019,675
1/10/2019,750
1/11/2019,625
1/14/2019,650
1/14/2019,599
1/14/2019,690
1/14/2019,660
1/15/2019,700
1/15/2019,700
1/16/2019,547
1/17/2019,678
1/17/2019,646
1/17/2019,677
1/18/2019,652
1/18/2019,650
1/19/2019,750
1/20/2019,670
1/20/2019,700
1/20/2019,680
1/21/2019,700
1/22/2019,650
1/22/2019,650
1/22/2019,710
1/22/2019,617
1/23/2019,625
1/23/2019,510
1/23/2019,500
1/23/2019,600
1/23/2019,480
1/23/2019,590
1/24/2019,622
1/24/2019,540
1/24/2019,624
1/24/2019,622
1/25/2019,634
1/25/2019,649
1/26/2019,636
1/26/2019,580
1/27/2019,628
1/27/2019,635
1/28/2019,580
1/28/2019,610
1/28/2019,650
1/28/2019,605
1/28/2019,580
1/29/2019,587
1/29/2019,610
1/29/2019,582
1/29/2019,597
1/29/2019,665
1/29/2019,555
1/29/2019,530
1/29/2019,640
1/30/2019,552
1/30/2019,540
1/30/2019,550
1/30/2019,554
1/30/2019,520
1/30/2019,560
1/30/2019,520
1/30/2019,571
1/30/2019,550
1/31/2019,540
1/31/2019,545
1/31/2019,560
1/31/2019,550
1/31/2019,540
1/31/2019,520
1/31/2019,502
1/31/2019,520
1/31/2019,583
2/1/2019,550
2/1/2019,651
2/1/2019,581
2/1/2019,550
2/1/2019,500
2/1/2019,600
2/1/2019,637
2/2/2019,560
2/2/2019,575
2/2/2019,618
2/2/2019,569
2/3/2019,569
2/3/2019,560
2/3/2019,564
2/3/2019,584
2/3/2019,568
2/4/2019,565
2/4/2019,561
2/4/2019,450
2/4/2019,575
2/4/2019,550
2/4/2019,525
2/4/2019,456
2/5/2019,550
2/5/2019,582
2/5/2019,580
2/5/2019,565
2/5/2019,460
2/5/2019,530
2/5/2019,550
2/5/2019,559
2/5/2019,650
2/5/2019,550
2/5/2019,550
2/5/2019,555
2/5/2019,515
2/5/2019,501
2/5/2019,575
2/5/2019,520
2/6/2019,490
2/6/2019,480
2/6/2019,490
2/6/2019,530
2/6/2019,480
2/6/2019,500
2/6/2019,414
2/6/2019,445
2/6/2019,495
2/6/2019,570
2/6/2019,470
2/6/2019,500
2/6/2019,511
2/6/2019,475
2/6/2019,500
2/6/2019,504
2/6/2019,500
2/6/2019,490
2/6/2019,482
2/6/2019,532
2/6/2019,506
2/6/2019,475
2/6/2019,530
2/6/2019,510
2/6/2019,519
2/6/2019,532
2/6/2019,500
2/6/2019,455
2/6/2019,526
2/6/2019,517
2/6/2019,482
2/6/2019,505
2/6/2019,485
2/6/2019,765
2/6/2019,490
2/6/2019,525
2/6/2019,550
2/6/2019,507
2/6/2019,505
2/6/2019,490
2/6/2019,500
2/6/2019,460
2/6/2019,500
2/6/2019,558
2/6/2019,488
2/6/2019,420
2/6/2019,452
2/6/2019,550
2/6/2019,564
2/6/2019,514
2/6/2019,492
2/6/2019,511
2/6/2019,547
2/6/2019,500
2/6/2019,559
2/6/2019,486
2/6/2019,490
2/6/2019,495
2/6/2019,480
2/6/2019,500
2/6/2019,610
2/6/2019,505
2/6/2019,510
2/7/2019,585
2/7/2019,526
2/7/2019,520
2/7/2019,528
2/7/2019,490
2/7/2019,493
2/7/2019,490
2/7/2019,461
2/7/2019,535
2/7/2019,550
2/7/2019,500
2/7/2019,488
2/7/2019,443
2/7/2019,451
2/7/2019,490
2/7/2019,556
2/7/2019,529
2/7/2019,550
2/7/2019,420
2/7/2019,575
2/7/2019,575
2/7/2019,445
2/7/2019,539
2/7/2019,480
2/7/2019,483
2/7/2019,460
2/7/2019,555
2/7/2019,528
2/7/2019,470
2/7/2019,539
2/7/2019,550
2/7/2019,514
2/7/2019,525
2/7/2019,445
2/7/2019,565
2/7/2019,480
2/7/2019,515
2/7/2019,460
2/7/2019,501
2/7/2019,550
2/7/2019,505
2/7/2019,575
2/7/2019,520
2/7/2019,525
2/7/2019,532
2/7/2019,570
2/7/2019,533
2/7/2019,460
2/7/2019,525
2/7/2019,473
2/7/2019,528
2/7/2019,562
2/7/2019,508
2/7/2019,500
2/7/2019,558
2/7/2019,445
2/7/2019,450
2/7/2019,577
2/7/2019,485
2/7/2019,525
2/7/2019,502
2/7/2019,555
2/7/2019,460
2/7/2019,536
2/7/2019,582
2/7/2019,466
2/7/2019,530
2/7/2019,523
2/7/2019,520
2/7/2019,463
2/7/2019,525
2/7/2019,596
2/7/2019,476
2/7/2019,554
2/7/2019,550
2/7/2019,589
2/7/2019,540
2/7/2019,530
2/7/2019,536
2/7/2019,550
