OrderDate,SalesPrice
9/7/2017,1600
9/7/2017,1090
9/8/2017,850
9/9/2017,949
9/9/2017,1100
9/9/2017,850
9/10/2017,965
9/10/2017,940
9/11/2017,830
9/11/2017,820
9/12/2017,840
9/12/2017,920
9/12/2017,850
9/13/2017,890
9/14/2017,870
9/15/2017,820
9/16/2017,900
9/18/2017,900
9/19/2017,948
9/20/2017,760
9/20/2017,820
9/21/2017,800
9/22/2017,670
9/22/2017,810
9/23/2017,800
9/23/2017,780
9/25/2017,790
9/26/2017,777
9/27/2017,870
9/27/2017,785
9/28/2017,700
9/29/2017,750
9/29/2017,815
9/30/2017,800
10/2/2017,820
10/3/2017,850
10/4/2017,835
10/5/2017,850
10/7/2017,785
10/8/2017,850
10/10/2017,850
10/13/2017,820
10/13/2017,849
10/17/2017,790
10/17/2017,790
10/23/2017,805
10/24/2017,900
10/25/2017,750
10/29/2017,791
10/30/2017,800
11/4/2017,850
11/4/2017,850
11/7/2017,800
11/8/2017,900
11/8/2017,890
11/9/2017,737
11/9/2017,750
11/9/2017,825
11/9/2017,650
11/10/2017,667
11/10/2017,695
11/10/2017,680
11/10/2017,645
11/10/2017,750
11/10/2017,605
11/10/2017,735
11/10/2017,711
11/11/2017,556
11/11/2017,580
11/11/2017,545
11/11/2017,560
11/11/2017,600
11/11/2017,585
11/11/2017,630
11/11/2017,640
11/11/2017,700
11/11/2017,575
11/11/2017,580
11/11/2017,640
11/11/2017,620
11/11/2017,591
11/12/2017,570
11/12/2017,551
11/12/2017,575
11/12/2017,570
11/12/2017,595
11/12/2017,555
11/12/2017,560
11/12/2017,629
11/12/2017,580
11/12/2017,550
11/12/2017,540
11/12/2017,596
11/12/2017,600
11/13/2017,580
11/13/2017,601
11/13/2017,575
11/13/2017,595
11/13/2017,600
11/13/2017,590
11/13/2017,607
11/13/2017,550
11/13/2017,604
11/13/2017,600
11/13/2017,598
11/14/2017,580
11/14/2017,605
11/14/2017,570
11/14/2017,570
11/14/2017,610
11/14/2017,570
11/15/2017,575
11/15/2017,570
11/15/2017,575
11/15/2017,580
11/15/2017,590
11/15/2017,570
11/15/2017,550
11/15/2017,597
11/15/2017,585
11/16/2017,555
11/16/2017,599
11/16/2017,585
11/16/2017,560
11/16/2017,598
11/16/2017,570
11/16/2017,551
11/16/2017,550
11/16/2017,560
11/16/2017,560
11/16/2017,625
11/17/2017,598
11/17/2017,575
11/17/2017,595
11/17/2017,565
11/18/2017,585
11/18/2017,570
11/18/2017,520
11/18/2017,599
11/18/2017,594
11/19/2017,550
11/19/2017,577
11/19/2017,564
11/19/2017,550
11/19/2017,570
11/19/2017,550
11/20/2017,575
11/20/2017,490
11/20/2017,585
11/20/2017,590
11/20/2017,580
11/20/2017,500
11/20/2017,550
11/20/2017,500
11/20/2017,599
11/20/2017,623
11/21/2017,555
11/21/2017,590
11/21/2017,585
11/21/2017,550
11/21/2017,536
11/22/2017,560
11/22/2017,545
11/22/2017,520
11/22/2017,580
11/22/2017,555
11/22/2017,550
11/22/2017,550
11/22/2017,540
11/23/2017,540
11/23/2017,575
11/23/2017,540
11/23/2017,595
11/23/2017,580
11/23/2017,570
11/23/2017,550
11/23/2017,575
11/24/2017,500
11/24/2017,535
11/24/2017,540
11/24/2017,550
11/24/2017,595
11/24/2017,579
11/24/2017,580
11/24/2017,545
11/24/2017,555
11/24/2017,570
11/24/2017,570
11/24/2017,555
11/24/2017,575
11/24/2017,580
11/24/2017,575
11/25/2017,540
11/25/2017,575
11/25/2017,570
11/25/2017,549
11/25/2017,525
11/25/2017,520
11/25/2017,548
11/25/2017,540
11/26/2017,504
11/26/2017,520
11/26/2017,600
11/26/2017,510
11/26/2017,515
11/26/2017,550
11/26/2017,510
11/27/2017,534
11/27/2017,455
11/27/2017,549
11/27/2017,495
11/27/2017,530
11/27/2017,535
11/27/2017,500
11/27/2017,560
11/27/2017,515
11/27/2017,526
11/27/2017,521
11/28/2017,487
11/28/2017,535
11/28/2017,520
11/28/2017,540
11/28/2017,520
11/28/2017,450
11/28/2017,515
11/28/2017,580
11/28/2017,535
11/29/2017,505
11/29/2017,490
11/29/2017,523
11/29/2017,525
11/29/2017,512
11/29/2017,524
11/30/2017,575
11/30/2017,490
11/30/2017,500
11/30/2017,525
11/30/2017,512
11/30/2017,570
11/30/2017,560
11/30/2017,511
11/30/2017,520
12/1/2017,577
12/1/2017,525
12/1/2017,530
12/1/2017,500
12/2/2017,528
12/2/2017,520
12/2/2017,540
12/2/2017,950
12/3/2017,525
12/3/2017,530
12/3/2017,540
12/3/2017,565
12/4/2017,519
12/4/2017,550
12/4/2017,531
12/4/2017,540
12/4/2017,569
12/4/2017,515
12/5/2017,520
12/5/2017,545
12/5/2017,525
12/5/2017,575
12/5/2017,575
12/5/2017,539
12/5/2017,578
12/6/2017,540
12/6/2017,554
12/6/2017,550
12/6/2017,554
12/7/2017,569
12/7/2017,560
12/7/2017,550
12/7/2017,562
12/7/2017,585
12/7/2017,500
12/8/2017,499
12/8/2017,574
12/8/2017,580
12/8/2017,579
12/9/2017,561
12/9/2017,587
12/9/2017,557
12/9/2017,560
12/10/2017,584
12/10/2017,574
12/10/2017,551
12/11/2017,585
12/11/2017,568
12/11/2017,600
12/11/2017,593
12/11/2017,486
12/12/2017,580
12/12/2017,560
12/12/2017,555
12/13/2017,550
12/13/2017,530
12/14/2017,579
12/14/2017,550
12/14/2017,570
12/15/2017,531
12/15/2017,536
12/16/2017,505
12/16/2017,598
12/16/2017,540
12/16/2017,507
12/16/2017,557
12/16/2017,525
12/17/2017,572
12/17/2017,575
12/17/2017,555
12/18/2017,550
12/18/2017,550
12/19/2017,550
12/19/2017,590
12/19/2017,582
12/19/2017,559
12/20/2017,507
12/21/2017,560
12/21/2017,530
12/21/2017,536
12/21/2017,575
12/22/2017,525
12/22/2017,500
12/22/2017,560
12/23/2017,590
12/24/2017,585
12/25/2017,620
12/25/2017,575
12/26/2017,540
12/26/2017,600
12/26/2017,620
12/27/2017,620
12/27/2017,635
12/27/2017,580
12/27/2017,591
12/28/2017,572
12/28/2017,600
12/29/2017,597
12/31/2017,600
12/31/2017,600
1/1/2018,620
1/2/2018,587
1/3/2018,620
1/3/2018,654
1/3/2018,600
1/4/2018,660
1/4/2018,585
1/5/2018,610
1/5/2018,690
1/7/2018,601
1/8/2018,660
1/8/2018,650
1/9/2018,688
1/9/2018,639
1/10/2018,675
1/10/2018,640
1/11/2018,609
1/11/2018,625
1/11/2018,603
1/12/2018,642
1/13/2018,680
1/13/2018,695
1/14/2018,700
1/17/2018,681
1/18/2018,530
1/18/2018,630
1/19/2018,690
1/19/2018,625
1/20/2018,677
1/20/2018,711
1/21/2018,680
1/22/2018,680
1/22/2018,615
1/23/2018,749
1/23/2018,705
1/24/2018,600
1/24/2018,600
1/24/2018,676
1/24/2018,630
1/25/2018,760
1/25/2018,680
1/25/2018,650
1/25/2018,550
1/25/2018,630
1/25/2018,560
1/26/2018,590
1/26/2018,540
1/26/2018,605
1/26/2018,650
1/26/2018,560
1/27/2018,650
1/28/2018,623
1/28/2018,636
1/29/2018,700
1/30/2018,676
1/31/2018,719
2/1/2018,675
2/2/2018,740
2/2/2018,720
2/4/2018,720
2/4/2018,738
2/5/2018,699
2/6/2018,666
2/6/2018,700
2/7/2018,644
2/8/2018,739
2/9/2018,790
2/10/2018,800
2/12/2018,720
2/13/2018,708
2/13/2018,1000
2/14/2018,655
2/16/2018,780
2/17/2018,700
2/18/2018,800
2/19/2018,738
2/19/2018,750
2/20/2018,722
2/20/2018,730
2/21/2018,750
2/22/2018,667
2/22/2018,705
2/23/2018,739
2/24/2018,799
2/25/2018,720
2/27/2018,739
2/27/2018,700
2/27/2018,800
2/28/2018,725
3/1/2018,710
3/2/2018,740
3/3/2018,736
3/5/2018,737
3/6/2018,794
3/7/2018,730
3/8/2018,777
3/9/2018,800
3/10/2018,790
3/11/2018,730
3/13/2018,785
3/13/2018,840
3/15/2018,875
3/17/2018,835
3/18/2018,839
3/19/2018,750
3/20/2018,786
3/20/2018,740
3/21/2018,790
3/22/2018,844
3/24/2018,785
3/25/2018,790
3/26/2018,780
3/26/2018,799
3/26/2018,800
3/27/2018,800
3/28/2018,825
3/28/2018,825
3/29/2018,798
3/30/2018,875
3/31/2018,800
4/1/2018,799
4/2/2018,776
4/2/2018,802
4/3/2018,800
4/6/2018,810
4/6/2018,790
4/6/2018,794
4/8/2018,815
4/9/2018,745
4/9/2018,792
4/14/2018,815
4/15/2018,901
4/16/2018,795
4/17/2018,790
4/18/2018,819
4/18/2018,765
4/19/2018,850
4/23/2018,840
4/24/2018,875
4/24/2018,844
4/25/2018,800
4/26/2018,850
4/26/2018,875
4/27/2018,801
4/28/2018,885
4/29/2018,890
4/30/2018,1100
4/30/2018,887
5/1/2018,840
5/3/2018,895
5/4/2018,877
5/4/2018,825
5/7/2018,875
5/8/2018,821
5/8/2018,821
5/10/2018,2000
5/10/2018,760
5/11/2018,999
5/12/2018,965
5/12/2018,879
5/14/2018,820
5/16/2018,850
5/17/2018,890
5/18/2018,894
5/19/2018,780
5/21/2018,940
5/22/2018,790
5/24/2018,930
5/25/2018,802
5/25/2018,890
5/28/2018,930
5/30/2018,890
5/30/2018,875
6/6/2018,937
6/7/2018,800
6/9/2018,950
6/10/2018,988
6/16/2018,980
6/18/2018,943
6/20/2018,1001
6/21/2018,950
6/22/2018,825
6/23/2018,771
6/24/2018,770
6/28/2018,990
6/30/2018,865
7/2/2018,755
7/3/2018,870
7/4/2018,885
7/5/2018,725
7/6/2018,880
7/7/2018,920
7/9/2018,805
7/13/2018,915
7/15/2018,1099
7/16/2018,1450
7/17/2018,915
7/18/2018,895
7/19/2018,886
7/19/2018,865
7/21/2018,930
7/23/2018,849
7/26/2018,900
7/27/2018,940
7/29/2018,931
7/30/2018,727
8/1/2018,940
8/2/2018,960
8/3/2018,875
8/4/2018,876
8/6/2018,840
8/9/2018,880
8/12/2018,750
8/20/2018,850
8/22/2018,800
8/31/2018,940
8/31/2018,958
9/4/2018,1010
9/11/2018,920
9/12/2018,920
9/15/2018,1100
9/16/2018,958
9/21/2018,860
9/26/2018,915
9/27/2018,885
9/28/2018,970
10/3/2018,975
10/5/2018,887
