OrderDate,SalesPrice
8/20/2018,750
8/21/2018,850
8/21/2018,899
8/21/2018,900
8/21/2018,906
8/22/2018,900
8/23/2018,910
8/23/2018,765
8/24/2018,945
8/24/2018,780
8/25/2018,955
8/25/2018,997
8/25/2018,1200
8/25/2018,885
8/26/2018,1150
8/26/2018,998
8/26/2018,1000
8/27/2018,1012
8/27/2018,1070
8/27/2018,1100
8/27/2018,978
8/27/2018,1130
8/27/2018,902
8/27/2018,940
8/27/2018,1145
8/28/2018,1149
8/28/2018,998
8/28/2018,1290
8/28/2018,1175
8/28/2018,1050
8/28/2018,910
8/28/2018,1005
8/28/2018,850
8/28/2018,900
8/29/2018,915
8/29/2018,1000
8/29/2018,970
8/29/2018,986
8/29/2018,1111
8/29/2018,860
8/29/2018,1025
8/29/2018,745
8/29/2018,1035
8/29/2018,850
8/29/2018,1150
8/29/2018,1001
8/29/2018,900
8/29/2018,960
8/29/2018,1100
8/29/2018,820
8/29/2018,700
8/29/2018,850
8/29/2018,1000
8/29/2018,1040
8/30/2018,676
8/30/2018,1049
8/30/2018,795
8/30/2018,1000
8/30/2018,706
8/30/2018,1049
8/30/2018,806
8/30/2018,650
8/30/2018,770
8/30/2018,657
8/30/2018,765
8/30/2018,882
8/30/2018,700
8/30/2018,780
8/30/2018,710
8/31/2018,755
8/31/2018,795
8/31/2018,800
8/31/2018,694
8/31/2018,1000
8/31/2018,946
8/31/2018,700
8/31/2018,665
9/1/2018,665
9/1/2018,979
9/1/2018,804
9/1/2018,840
9/1/2018,735
9/1/2018,880
9/1/2018,1150
9/1/2018,1000
9/2/2018,726
9/2/2018,1134
9/2/2018,925
9/2/2018,980
9/2/2018,731
9/3/2018,825
9/3/2018,1020
9/3/2018,750
9/3/2018,848
9/3/2018,999
9/4/2018,970
9/4/2018,901
9/4/2018,800
9/4/2018,1025
9/4/2018,900
9/4/2018,800
9/5/2018,839
9/5/2018,750
9/5/2018,845
9/5/2018,951
9/6/2018,951
9/6/2018,800
9/7/2018,749
9/8/2018,939
9/8/2018,950
9/8/2018,750
9/9/2018,843
9/9/2018,901
9/9/2018,1020
9/9/2018,950
9/10/2018,770
9/10/2018,770
9/11/2018,785
9/11/2018,980
9/12/2018,950
9/12/2018,960
9/13/2018,1023
9/14/2018,952
9/14/2018,715
9/15/2018,906
9/16/2018,695
9/16/2018,790
9/17/2018,779
9/18/2018,1050
9/18/2018,1100
9/19/2018,879
9/19/2018,1180
9/20/2018,720
9/20/2018,725
9/20/2018,716
9/21/2018,925
9/21/2018,777
9/22/2018,990
9/23/2018,790
9/24/2018,1065
9/24/2018,730
9/24/2018,857
9/25/2018,980
9/25/2018,845
9/26/2018,646
9/27/2018,719
9/28/2018,765
9/29/2018,786
9/30/2018,709
10/1/2018,750
10/2/2018,1020
10/2/2018,1011
10/2/2018,974
10/3/2018,816
10/4/2018,783
10/5/2018,695
10/7/2018,835
10/8/2018,970
10/9/2018,975
10/9/2018,699
10/10/2018,944
10/10/2018,713
10/10/2018,975
10/13/2018,1125
10/14/2018,700
10/16/2018,730
10/17/2018,985
10/18/2018,996
10/19/2018,1055
10/20/2018,865
10/22/2018,706
10/22/2018,899
10/24/2018,1190
10/25/2018,770
10/25/2018,999
10/27/2018,988
10/29/2018,999
10/31/2018,735
10/31/2018,1286
10/31/2018,726
10/31/2018,929
11/1/2018,1000
11/1/2018,780
11/2/2018,832
11/3/2018,792
11/5/2018,1000
11/5/2018,750
11/6/2018,799
11/7/2018,930
11/15/2018,749
11/16/2018,850
11/18/2018,919
11/25/2018,914
11/26/2018,845
11/26/2018,843
12/1/2018,750
12/2/2018,900
12/4/2018,792
12/9/2018,895
12/10/2018,1100
12/11/2018,850
12/14/2018,1150
12/17/2018,1198
12/18/2018,809
12/21/2018,950
12/21/2018,950
12/23/2018,1000
12/28/2018,710
1/8/2019,875
1/9/2019,745
1/17/2019,729
1/20/2019,900
1/26/2019,820
2/5/2019,917
2/6/2019,890
2/9/2019,865
