OrderDate,SalesPrice
10/10/2018,925
10/12/2018,1110
10/17/2018,999
10/18/2018,898
10/18/2018,900
10/18/2018,805
10/18/2018,921
10/18/2018,900
10/18/2018,875
10/19/2018,790
10/19/2018,820
10/19/2018,910
10/19/2018,829
10/19/2018,886
10/19/2018,900
10/19/2018,750
10/19/2018,845
10/20/2018,780
10/20/2018,877
10/20/2018,785
10/20/2018,875
10/20/2018,800
10/20/2018,801
10/20/2018,765
10/20/2018,790
10/21/2018,801
10/21/2018,795
10/21/2018,761
10/21/2018,777
10/21/2018,829
10/21/2018,700
10/22/2018,825
10/22/2018,680
10/22/2018,700
10/22/2018,730
10/22/2018,740
10/22/2018,696
10/22/2018,740
10/22/2018,692
10/22/2018,761
10/22/2018,766
10/23/2018,804
10/23/2018,710
10/23/2018,825
10/23/2018,710
10/23/2018,725
10/23/2018,722
10/23/2018,725
10/23/2018,789
10/24/2018,720
10/24/2018,710
10/24/2018,709
10/24/2018,720
10/24/2018,740
10/24/2018,809
10/24/2018,745
10/24/2018,718
10/25/2018,808
10/25/2018,729
10/25/2018,750
10/25/2018,825
10/25/2018,730
10/25/2018,775
10/25/2018,739
10/26/2018,730
10/26/2018,770
10/26/2018,735
10/26/2018,775
10/26/2018,701
10/27/2018,790
10/27/2018,730
10/27/2018,817
10/27/2018,726
10/28/2018,747
10/28/2018,960
10/29/2018,721
10/29/2018,851
10/29/2018,750
10/29/2018,730
10/30/2018,727
10/30/2018,763
10/30/2018,682
10/30/2018,740
10/30/2018,795
10/31/2018,737
10/31/2018,704
10/31/2018,700
10/31/2018,670
10/31/2018,730
10/31/2018,728
10/31/2018,680
10/31/2018,720
10/31/2018,686
10/31/2018,670
10/31/2018,665
10/31/2018,700
10/31/2018,697
10/31/2018,696
10/31/2018,710
10/31/2018,724
11/1/2018,686
11/1/2018,697
11/1/2018,696
11/1/2018,650
11/1/2018,725
11/1/2018,691
11/1/2018,730
11/1/2018,710
11/2/2018,877
11/2/2018,724
11/2/2018,876
11/3/2018,727
11/3/2018,665
11/4/2018,750
11/4/2018,719
11/5/2018,715
11/5/2018,711
11/6/2018,695
11/6/2018,688
11/7/2018,672
11/7/2018,740
11/7/2018,701
11/7/2018,687
11/7/2018,904
11/8/2018,739
11/8/2018,704
11/8/2018,705
11/9/2018,700
11/9/2018,700
11/9/2018,703
11/10/2018,710
11/10/2018,750
11/11/2018,711
11/11/2018,650
11/11/2018,700
11/11/2018,697
11/12/2018,710
11/12/2018,691
11/12/2018,750
11/12/2018,697
11/13/2018,740
11/13/2018,800
11/13/2018,710
11/13/2018,746
11/13/2018,730
11/14/2018,840
11/14/2018,735
11/14/2018,730
11/14/2018,735
11/15/2018,715
11/15/2018,750
11/15/2018,700
11/15/2018,714
11/16/2018,701
11/17/2018,715
11/17/2018,705
11/18/2018,725
11/18/2018,900
11/19/2018,811
11/19/2018,920
11/20/2018,733
11/20/2018,740
11/20/2018,860
11/21/2018,827
11/22/2018,725
11/23/2018,825
11/23/2018,715
11/23/2018,720
11/24/2018,709
11/24/2018,860
11/25/2018,690
11/26/2018,700
11/26/2018,660
11/26/2018,750
11/26/2018,685
11/26/2018,761
11/26/2018,695
11/26/2018,700
11/26/2018,705
11/26/2018,709
11/27/2018,1061
11/27/2018,715
11/28/2018,776
11/29/2018,980
11/29/2018,686
11/30/2018,1000
11/30/2018,715
12/1/2018,756
12/1/2018,755
12/2/2018,695
12/2/2018,1362
12/3/2018,750
12/3/2018,770
12/3/2018,715
12/4/2018,705
12/4/2018,890
12/6/2018,769
12/6/2018,750
12/7/2018,720
12/7/2018,701
12/8/2018,737
12/8/2018,730
12/9/2018,730
12/9/2018,865
12/10/2018,775
12/11/2018,825
12/11/2018,800
12/12/2018,697
12/12/2018,800
12/13/2018,749
12/13/2018,755
12/14/2018,708
12/14/2018,675
12/15/2018,878
12/15/2018,775
12/16/2018,745
12/17/2018,636
12/17/2018,818
12/18/2018,861
12/18/2018,725
12/19/2018,769
12/20/2018,850
12/21/2018,800
12/22/2018,680
12/23/2018,742
12/24/2018,695
12/24/2018,662
12/25/2018,725
12/27/2018,880
12/27/2018,785
12/28/2018,746
12/29/2018,885
12/30/2018,785
12/31/2018,786
1/1/2019,994
1/1/2019,752
1/2/2019,869
1/3/2019,740
1/4/2019,755
1/5/2019,747
1/5/2019,725
1/6/2019,800
1/7/2019,746
1/7/2019,747
1/8/2019,899
1/8/2019,730
1/8/2019,785
1/8/2019,746
1/9/2019,920
1/9/2019,999
1/9/2019,735
1/10/2019,650
1/11/2019,735
1/12/2019,733
1/12/2019,909
1/13/2019,688
1/13/2019,706
1/14/2019,925
1/15/2019,710
1/15/2019,705
1/15/2019,701
1/16/2019,709
1/18/2019,700
1/20/2019,735
1/20/2019,875
1/21/2019,768
1/22/2019,820
1/23/2019,707
1/24/2019,766
1/24/2019,723
1/25/2019,686
1/25/2019,691
1/25/2019,669
1/26/2019,723
1/26/2019,705
1/27/2019,710
1/27/2019,662
1/27/2019,700
1/28/2019,774
1/28/2019,719
1/28/2019,729
1/29/2019,680
1/29/2019,750
1/30/2019,690
1/30/2019,711
1/30/2019,712
1/30/2019,693
1/30/2019,686
1/31/2019,724
1/31/2019,675
1/31/2019,827
1/31/2019,680
1/31/2019,900
1/31/2019,700
1/31/2019,715
1/31/2019,950
2/1/2019,690
2/1/2019,679
2/1/2019,1018
2/1/2019,702
2/1/2019,652
2/1/2019,676
2/2/2019,725
2/2/2019,660
2/3/2019,769
2/3/2019,650
2/4/2019,653
2/4/2019,696
2/4/2019,693
2/4/2019,710
2/5/2019,688
2/5/2019,704
2/5/2019,685
2/5/2019,706
2/6/2019,701
2/6/2019,680
2/6/2019,627
2/6/2019,650
2/6/2019,900
2/6/2019,680
2/6/2019,645
2/6/2019,675
2/6/2019,685
2/6/2019,696
2/7/2019,633
2/7/2019,660
2/7/2019,645
2/7/2019,680
2/7/2019,630
2/7/2019,687
2/8/2019,720
2/8/2019,740
2/8/2019,695
2/9/2019,666
2/9/2019,826
2/11/2019,660
2/11/2019,881
2/11/2019,675
2/11/2019,730
2/12/2019,747
2/12/2019,717
2/13/2019,745
2/13/2019,708
