OrderDate,SalesPrice
9/7/2017,1344
9/7/2017,1325
9/8/2017,1299
9/9/2017,1299
9/10/2017,1329
9/10/2017,1270
9/10/2017,1190
9/10/2017,1300
9/11/2017,1700
9/11/2017,1239
9/11/2017,1150
9/12/2017,1200
9/13/2017,1050
9/13/2017,1190
9/14/2017,1210
9/15/2017,1250
9/15/2017,1110
9/16/2017,1100
9/16/2017,1250
9/17/2017,1200
9/17/2017,1200
9/17/2017,1275
9/18/2017,1250
9/18/2017,1065
9/19/2017,1350
9/19/2017,1060
9/20/2017,1195
9/21/2017,1265
9/21/2017,1350
9/22/2017,1105
9/22/2017,900
9/22/2017,1108
9/23/2017,1150
9/23/2017,1149
9/25/2017,1250
9/26/2017,1099
9/27/2017,1160
9/27/2017,1250
9/28/2017,1250
9/28/2017,1200
9/29/2017,1230
9/29/2017,1399
10/1/2017,1175
10/2/2017,1300
10/3/2017,1060
10/3/2017,1250
10/4/2017,1350
10/6/2017,1399
10/6/2017,1260
10/7/2017,1200
10/8/2017,1300
10/10/2017,1399
10/11/2017,1258
10/13/2017,1058
10/16/2017,1310
10/21/2017,1850
10/23/2017,1414
10/25/2017,1425
10/26/2017,1325
10/30/2017,1300
10/31/2017,1400
11/2/2017,1200
11/3/2017,1190
11/7/2017,1348
11/8/2017,1320
11/8/2017,1225
11/9/2017,1025
11/9/2017,1020
11/9/2017,950
11/9/2017,1052
11/9/2017,1055
11/9/2017,1050
11/10/2017,750
11/10/2017,1000
11/10/2017,1200
11/10/2017,1050
11/10/2017,1190
11/11/2017,811
11/11/2017,910
11/11/2017,930
11/11/2017,955
11/11/2017,1086
11/11/2017,937
11/11/2017,960
11/11/2017,980
11/11/2017,1000
11/11/2017,930
11/11/2017,1009
11/11/2017,989
11/11/2017,915
11/11/2017,975
11/11/2017,975
11/11/2017,1000
11/11/2017,910
11/11/2017,950
11/11/2017,908
11/11/2017,975
11/11/2017,900
11/12/2017,960
11/12/2017,970
11/12/2017,920
11/12/2017,925
11/12/2017,955
11/12/2017,955
11/12/2017,865
11/12/2017,847
11/12/2017,969
11/12/2017,875
11/13/2017,990
11/13/2017,939
11/13/2017,975
11/13/2017,880
11/13/2017,1000
11/13/2017,950
11/13/2017,915
11/13/2017,960
11/14/2017,969
11/14/2017,975
11/14/2017,950
11/14/2017,1000
11/14/2017,1080
11/14/2017,1039
11/14/2017,905
11/15/2017,1000
11/15/2017,936
11/15/2017,975
11/15/2017,910
11/16/2017,910
11/16/2017,850
11/16/2017,971
11/16/2017,900
11/17/2017,1045
11/17/2017,974
11/17/2017,1049
11/17/2017,954
11/18/2017,905
11/18/2017,1049
11/19/2017,899
11/19/2017,981
11/19/2017,800
11/19/2017,860
11/19/2017,801
11/19/2017,900
11/20/2017,900
11/20/2017,980
11/20/2017,820
11/20/2017,950
11/20/2017,836
11/21/2017,971
11/21/2017,1300
11/21/2017,1000
11/21/2017,875
11/21/2017,955
11/21/2017,899
11/21/2017,936
11/22/2017,950
11/22/2017,930
11/22/2017,850
11/22/2017,945
11/22/2017,867
11/22/2017,940
11/23/2017,949
11/23/2017,950
11/23/2017,955
11/23/2017,950
11/23/2017,895
11/23/2017,900
11/24/2017,943
11/24/2017,919
11/24/2017,870
11/24/2017,840
11/24/2017,931
11/24/2017,945
11/24/2017,845
11/24/2017,950
11/24/2017,845
11/24/2017,910
11/25/2017,912
11/25/2017,995
11/25/2017,990
11/25/2017,842
11/25/2017,1000
11/25/2017,900
11/26/2017,915
11/26/2017,999
11/26/2017,900
11/26/2017,965
11/26/2017,901
11/26/2017,950
11/27/2017,915
11/27/2017,920
11/27/2017,989
11/27/2017,835
11/27/2017,917
11/27/2017,956
11/27/2017,875
11/27/2017,890
11/28/2017,901
11/28/2017,920
11/28/2017,875
11/28/2017,975
11/28/2017,920
11/29/2017,955
11/29/2017,775
11/29/2017,865
11/29/2017,980
11/29/2017,930
11/29/2017,970
11/30/2017,1000
11/30/2017,927
11/30/2017,920
11/30/2017,942
11/30/2017,855
12/1/2017,947
12/1/2017,760
12/1/2017,937
12/1/2017,835
12/1/2017,830
12/2/2017,995
12/2/2017,958
12/3/2017,1080
12/3/2017,977
12/3/2017,975
12/3/2017,1050
12/3/2017,869
12/4/2017,970
12/4/2017,984
12/4/2017,975
12/5/2017,1066
12/5/2017,945
12/5/2017,1090
12/5/2017,999
12/5/2017,1090
12/6/2017,1099
12/6/2017,1030
12/6/2017,1029
12/6/2017,900
12/6/2017,837
12/6/2017,1020
12/6/2017,951
12/7/2017,1100
12/7/2017,1044
12/7/2017,930
12/8/2017,989
12/8/2017,1090
12/9/2017,1098
12/9/2017,840
12/10/2017,955
12/10/2017,995
12/10/2017,1100
12/11/2017,975
12/11/2017,990
12/12/2017,934
12/12/2017,1000
12/12/2017,1025
12/13/2017,985
12/13/2017,1070
12/14/2017,1175
12/14/2017,840
12/14/2017,811
12/15/2017,1080
12/15/2017,1084
12/15/2017,1050
12/16/2017,899
12/16/2017,1158
12/17/2017,1000
12/17/2017,1075
12/18/2017,1250
12/18/2017,1010
12/19/2017,915
12/19/2017,1000
12/20/2017,976
12/20/2017,1050
12/21/2017,1010
12/21/2017,850
12/21/2017,900
12/21/2017,973
12/22/2017,875
12/22/2017,949
12/22/2017,1000
12/23/2017,962
12/23/2017,1300
12/24/2017,1057
12/24/2017,1115
12/25/2017,1150
12/25/2017,1030
12/26/2017,965
12/26/2017,1160
12/26/2017,1145
12/27/2017,1076
12/27/2017,886
12/28/2017,1150
12/28/2017,950
12/28/2017,1125
12/29/2017,998
12/29/2017,1040
12/30/2017,1075
12/30/2017,1150
12/31/2017,1175
12/31/2017,1290
1/1/2018,1250
1/1/2018,910
1/2/2018,1070
1/3/2018,1200
1/3/2018,1900
1/4/2018,1141
1/4/2018,1700
1/5/2018,1167
1/5/2018,1210
1/6/2018,1275
1/6/2018,1027
1/7/2018,1235
1/8/2018,900
1/8/2018,1020
1/9/2018,1840
1/9/2018,1250
1/10/2018,1186
1/10/2018,1195
1/11/2018,1150
1/11/2018,1120
1/11/2018,1190
1/12/2018,1175
1/12/2018,1075
1/13/2018,930
1/13/2018,1195
1/14/2018,1255
1/15/2018,1150
1/16/2018,1150
1/16/2018,950
1/17/2018,961
1/17/2018,1080
1/18/2018,960
1/18/2018,1000
1/18/2018,1319
1/19/2018,1030
1/19/2018,1100
1/19/2018,1253
1/20/2018,1230
1/20/2018,1290
1/21/2018,1086
1/21/2018,1185
1/21/2018,1285
1/22/2018,1300
1/23/2018,1130
1/23/2018,1065
1/24/2018,1350
1/24/2018,1200
1/25/2018,1350
1/26/2018,1065
1/26/2018,1230
1/26/2018,1154
1/27/2018,1220
1/28/2018,1150
1/28/2018,1179
1/29/2018,1885
1/29/2018,1200
1/30/2018,1145
1/30/2018,1290
1/30/2018,1150
1/31/2018,1320
1/31/2018,1150
2/1/2018,1230
2/1/2018,1155
2/1/2018,1339
2/1/2018,1079
2/2/2018,1275
2/2/2018,1340
2/3/2018,1300
2/4/2018,1500
2/4/2018,1301
2/5/2018,1375
2/6/2018,1090
2/7/2018,1050
