OrderDate,SalesPrice
2/14/2018,825
2/15/2018,900
2/16/2018,770
2/17/2018,700
2/17/2018,800
2/18/2018,950
2/18/2018,1050
2/19/2018,600
2/20/2018,1150
2/20/2018,750
2/21/2018,800
2/21/2018,764
2/22/2018,900
2/22/2018,956
2/23/2018,768
2/24/2018,800
2/26/2018,863
2/27/2018,1200
2/28/2018,765
2/28/2018,750
2/28/2018,770
2/28/2018,756
3/1/2018,747
3/1/2018,735
3/1/2018,740
3/2/2018,775
3/2/2018,722
3/2/2018,750
3/3/2018,756
3/3/2018,795
3/4/2018,685
3/4/2018,715
3/4/2018,690
3/5/2018,814
3/5/2018,800
3/5/2018,740
3/6/2018,775
3/8/2018,1098
3/9/2018,750
3/10/2018,1100
3/11/2018,900
3/13/2018,805
3/13/2018,900
3/14/2018,851
3/15/2018,800
3/15/2018,820
3/20/2018,838
3/21/2018,1050
3/22/2018,1000
3/26/2018,1050
3/28/2018,820
3/29/2018,875
3/30/2018,870
3/31/2018,850
4/1/2018,1000
4/4/2018,827
4/5/2018,780
4/5/2018,700
4/5/2018,870
4/5/2018,777
4/5/2018,700
4/5/2018,800
4/5/2018,850
4/5/2018,750
4/5/2018,803
4/5/2018,800
4/5/2018,916
4/6/2018,600
4/6/2018,701
4/6/2018,677
4/6/2018,730
4/6/2018,703
4/6/2018,690
4/6/2018,686
4/7/2018,696
4/7/2018,700
4/7/2018,694
4/7/2018,724
4/7/2018,685
4/8/2018,680
4/8/2018,688
4/8/2018,777
4/8/2018,686
4/9/2018,870
4/9/2018,698
4/9/2018,700
4/9/2018,1400
4/9/2018,704
4/10/2018,653
4/10/2018,675
4/10/2018,610
4/10/2018,650
4/10/2018,660
4/10/2018,651
4/10/2018,615
4/10/2018,620
4/10/2018,650
4/10/2018,620
4/11/2018,622
4/11/2018,624
4/11/2018,626
4/11/2018,575
4/11/2018,691
4/12/2018,707
4/12/2018,575
4/12/2018,601
4/12/2018,600
4/12/2018,600
4/12/2018,628
4/12/2018,610
4/12/2018,612
4/12/2018,655
4/12/2018,650
4/12/2018,636
4/12/2018,620
4/13/2018,580
4/13/2018,590
4/13/2018,556
4/13/2018,601
4/13/2018,681
4/13/2018,605
4/13/2018,596
4/13/2018,590
4/13/2018,545
4/13/2018,600
4/13/2018,600
4/13/2018,600
4/13/2018,609
4/13/2018,557
4/13/2018,630
4/13/2018,640
4/13/2018,602
4/13/2018,613
4/14/2018,550
4/14/2018,680
4/14/2018,575
4/14/2018,625
4/14/2018,613
4/14/2018,550
4/14/2018,643
4/14/2018,595
4/14/2018,595
4/14/2018,500
4/14/2018,578
4/14/2018,622
4/14/2018,605
4/14/2018,574
4/14/2018,621
4/14/2018,586
4/14/2018,575
4/14/2018,654
4/14/2018,580
4/14/2018,612
4/14/2018,716
4/14/2018,586
4/14/2018,525
4/14/2018,610
4/14/2018,605
4/14/2018,595
4/14/2018,625
4/14/2018,645
4/14/2018,630
4/14/2018,625
4/14/2018,595
4/14/2018,610
4/14/2018,654
4/14/2018,595
4/14/2018,595
4/14/2018,585
4/14/2018,600
4/14/2018,590
4/14/2018,570
4/14/2018,576
4/14/2018,597
4/14/2018,581
4/14/2018,585
4/14/2018,635
4/14/2018,600
4/14/2018,605
4/14/2018,620
4/14/2018,600
4/14/2018,630
4/14/2018,521
4/14/2018,615
4/14/2018,587
4/14/2018,605
4/14/2018,620
4/14/2018,586
4/14/2018,625
4/14/2018,457
4/14/2018,630
4/14/2018,625
4/14/2018,575
4/14/2018,596
4/14/2018,636
4/14/2018,610
4/14/2018,625
4/14/2018,600
4/14/2018,620
4/14/2018,570
4/14/2018,631
4/15/2018,608
4/15/2018,598
4/15/2018,580
4/15/2018,585
4/15/2018,600
4/15/2018,510
4/15/2018,515
4/15/2018,610
4/15/2018,600
4/15/2018,608
4/15/2018,600
4/15/2018,605
4/15/2018,597
4/15/2018,619
4/15/2018,600
4/15/2018,600
4/15/2018,590
4/15/2018,600
4/15/2018,548
4/15/2018,605
4/15/2018,785
4/15/2018,590
4/15/2018,625
4/15/2018,566
4/15/2018,625
4/15/2018,595
4/15/2018,595
4/15/2018,505
4/15/2018,615
4/15/2018,600
4/15/2018,581
4/15/2018,623
4/15/2018,620
4/15/2018,590
4/16/2018,592
4/16/2018,593
4/16/2018,601
4/16/2018,595
4/16/2018,540
4/16/2018,610
4/16/2018,602
4/16/2018,595
4/16/2018,595
4/16/2018,577
4/16/2018,615
4/16/2018,570
4/16/2018,580
4/16/2018,596
4/16/2018,598
4/16/2018,585
