OrderDate,SalesPrice
3/8/2018,800
3/9/2018,820
3/9/2018,780
3/10/2018,800
3/11/2018,750
3/12/2018,800
3/14/2018,800
3/15/2018,875
3/16/2018,810
3/17/2018,787
3/19/2018,799
3/20/2018,775
3/20/2018,735
3/21/2018,838
3/22/2018,725
3/23/2018,739
3/23/2018,790
3/24/2018,718
3/24/2018,777
3/25/2018,700
3/25/2018,710
3/25/2018,715
3/25/2018,704
3/26/2018,679
3/26/2018,699
3/26/2018,700
3/26/2018,655
3/26/2018,749
3/27/2018,699
3/27/2018,709
3/27/2018,709
3/27/2018,690
3/28/2018,715
3/28/2018,650
3/28/2018,670
3/28/2018,680
3/28/2018,670
3/28/2018,695
3/28/2018,657
3/28/2018,670
3/28/2018,670
3/28/2018,695
3/28/2018,661
3/29/2018,575
3/29/2018,655
3/29/2018,660
3/29/2018,650
3/29/2018,680
3/29/2018,611
3/29/2018,625
3/29/2018,650
3/29/2018,650
3/29/2018,649
3/29/2018,650
3/29/2018,610
3/29/2018,631
3/29/2018,625
3/29/2018,700
3/29/2018,620
3/29/2018,630
3/29/2018,639
3/29/2018,650
3/29/2018,591
3/29/2018,625
3/29/2018,645
3/29/2018,660
3/29/2018,600
3/29/2018,560
3/29/2018,660
3/29/2018,624
3/29/2018,675
3/30/2018,660
3/30/2018,670
3/30/2018,669
3/30/2018,663
3/30/2018,655
3/30/2018,650
3/30/2018,674
3/30/2018,651
3/30/2018,630
3/30/2018,648
3/30/2018,568
3/30/2018,679
3/30/2018,580
3/30/2018,645
3/30/2018,637
3/30/2018,670
3/30/2018,650
3/30/2018,555
3/30/2018,698
3/30/2018,679
3/30/2018,625
3/30/2018,668
3/30/2018,666
3/30/2018,675
3/30/2018,630
3/30/2018,686
3/30/2018,669
3/30/2018,600
3/30/2018,624
3/30/2018,630
3/30/2018,686
3/30/2018,675
3/30/2018,700
3/30/2018,641
3/30/2018,570
3/30/2018,650
3/30/2018,668
3/30/2018,650
3/30/2018,611
3/30/2018,660
3/30/2018,600
3/30/2018,580
3/30/2018,644
3/30/2018,651
3/30/2018,615
3/30/2018,660
3/30/2018,665
3/30/2018,640
3/30/2018,673
3/30/2018,640
3/30/2018,660
3/30/2018,660
3/30/2018,655
3/30/2018,515
3/30/2018,660
3/30/2018,645
3/30/2018,659
3/30/2018,674
3/30/2018,690
3/30/2018,675
3/31/2018,658
3/31/2018,617
3/31/2018,630
3/31/2018,650
3/31/2018,675
3/31/2018,679
3/31/2018,641
3/31/2018,669
3/31/2018,640
3/31/2018,655
3/31/2018,660
3/31/2018,810
3/31/2018,689
3/31/2018,630
3/31/2018,644
3/31/2018,592
3/31/2018,679
3/31/2018,649
3/31/2018,625
3/31/2018,650
3/31/2018,670
3/31/2018,657
3/31/2018,645
3/31/2018,658
3/31/2018,645
3/31/2018,652
3/31/2018,677
3/31/2018,699
3/31/2018,650
3/31/2018,669
3/31/2018,900
3/31/2018,660
3/31/2018,674
3/31/2018,625
4/1/2018,670
4/1/2018,690
4/1/2018,650
4/1/2018,659
4/1/2018,649
4/1/2018,670
4/1/2018,645
4/1/2018,650
4/1/2018,684
4/1/2018,650
4/1/2018,585
4/1/2018,662
4/1/2018,689
4/1/2018,915
4/1/2018,686
4/1/2018,680
4/2/2018,650
4/2/2018,665
4/2/2018,652
4/2/2018,670
4/2/2018,690
4/2/2018,652
4/2/2018,646
4/2/2018,588
4/2/2018,682
4/2/2018,588
4/2/2018,693
4/2/2018,725
4/2/2018,625
4/2/2018,668
4/2/2018,640
4/2/2018,688
4/2/2018,610
4/2/2018,641
4/2/2018,690
4/2/2018,655
4/2/2018,625
4/2/2018,670
4/3/2018,645
4/3/2018,618
4/3/2018,682
4/3/2018,655
4/3/2018,635
4/3/2018,695
4/3/2018,639
4/3/2018,625
4/3/2018,905
4/3/2018,690
4/3/2018,635
4/3/2018,608
4/3/2018,640
4/3/2018,621
4/3/2018,670
4/3/2018,625
4/3/2018,664
4/3/2018,655
4/3/2018,633
4/3/2018,525
4/3/2018,570
4/3/2018,627
4/3/2018,664
4/3/2018,600
4/3/2018,676
4/3/2018,631
4/3/2018,645
4/3/2018,651
4/4/2018,620
4/4/2018,608
4/4/2018,621
4/4/2018,610
4/4/2018,600
4/4/2018,615
4/4/2018,520
4/4/2018,603
4/4/2018,629
4/4/2018,588
4/4/2018,607
4/4/2018,640
4/4/2018,570
4/4/2018,633
4/4/2018,607
4/4/2018,630
4/4/2018,625
4/4/2018,610
4/4/2018,600
4/4/2018,627
4/4/2018,575
4/4/2018,602
4/4/2018,570
4/4/2018,595
4/4/2018,619
4/4/2018,640
4/4/2018,605
4/4/2018,620
4/4/2018,607
4/4/2018,641
4/4/2018,605
4/4/2018,625
4/5/2018,598
4/5/2018,611
4/5/2018,620
4/5/2018,602
4/5/2018,615
4/5/2018,610
4/5/2018,613
4/5/2018,590
4/5/2018,600
4/5/2018,610
4/5/2018,609
4/5/2018,500
4/5/2018,572
4/5/2018,610
4/5/2018,599
4/5/2018,625
4/5/2018,625
4/5/2018,530
4/5/2018,591
4/5/2018,600
4/5/2018,625
4/5/2018,590
4/5/2018,596
4/5/2018,630
4/5/2018,617
4/5/2018,630
4/5/2018,600
4/5/2018,610
4/5/2018,601
4/5/2018,601
4/5/2018,685
4/6/2018,565
4/6/2018,557
4/6/2018,609
4/6/2018,611
4/6/2018,581
4/6/2018,594
4/6/2018,600
4/6/2018,550
4/6/2018,570
4/6/2018,630
4/6/2018,582
4/6/2018,588
4/6/2018,630
4/6/2018,600
4/6/2018,606
4/6/2018,596
4/6/2018,555
4/6/2018,601
4/6/2018,502
4/6/2018,590
4/6/2018,600
4/6/2018,585
4/6/2018,644
4/6/2018,630
4/6/2018,610
4/6/2018,605
4/6/2018,610
4/6/2018,545
4/6/2018,575
4/6/2018,595
4/6/2018,586
4/6/2018,595
4/7/2018,603
4/7/2018,850
4/7/2018,578
4/7/2018,590
4/7/2018,600
4/7/2018,605
4/7/2018,477
4/7/2018,585
4/7/2018,800
4/7/2018,630
4/7/2018,630
4/7/2018,607
4/7/2018,537
4/7/2018,600
4/7/2018,585
4/7/2018,586
4/7/2018,575
4/7/2018,550
4/7/2018,610
4/7/2018,620
4/8/2018,615
4/8/2018,522
4/8/2018,580
4/8/2018,612
4/8/2018,592
4/8/2018,590
4/8/2018,575
4/8/2018,607
4/8/2018,592
4/8/2018,575
4/8/2018,615
4/8/2018,601
4/8/2018,625
4/9/2018,615
4/9/2018,600
4/9/2018,477
4/9/2018,598
4/9/2018,599
4/9/2018,540
4/9/2018,590
4/9/2018,535
4/9/2018,625
4/9/2018,600
4/9/2018,640
4/9/2018,590
4/9/2018,609
4/9/2018,581
4/9/2018,625
4/9/2018,590
4/9/2018,620
4/9/2018,590
4/9/2018,616
4/9/2018,592
4/9/2018,572
4/10/2018,510
4/10/2018,600
4/10/2018,589
4/10/2018,598
4/10/2018,515
4/10/2018,538
4/10/2018,582
4/10/2018,590
4/10/2018,609
4/10/2018,620
4/10/2018,595
4/10/2018,600
4/10/2018,500
4/10/2018,589
4/10/2018,590
4/11/2018,595
4/11/2018,610
4/11/2018,505
4/11/2018,597
4/11/2018,524
4/11/2018,606
4/11/2018,590
4/11/2018,585
4/11/2018,555
4/11/2018,620
4/11/2018,570
4/11/2018,520
4/11/2018,571
4/11/2018,590
4/11/2018,549
4/11/2018,573
4/11/2018,590
4/11/2018,582
4/12/2018,500
4/12/2018,564
4/12/2018,599
4/12/2018,580
4/12/2018,589
4/12/2018,567
4/12/2018,575
4/12/2018,599
4/12/2018,585
4/12/2018,575
4/12/2018,570
4/12/2018,630
4/12/2018,500
4/13/2018,584
4/13/2018,581
4/13/2018,584
4/13/2018,600
4/13/2018,580
4/13/2018,600
4/13/2018,585
4/13/2018,560
4/13/2018,510
4/13/2018,578
4/13/2018,599
4/13/2018,605
4/13/2018,625
4/13/2018,587
4/14/2018,595
4/14/2018,580
4/14/2018,581
4/14/2018,598
4/14/2018,585
4/14/2018,585
4/14/2018,520
4/14/2018,588
4/14/2018,581
4/14/2018,581
4/14/2018,585
4/14/2018,590
4/14/2018,590
4/14/2018,595
4/14/2018,540
4/14/2018,599
4/14/2018,785
4/14/2018,520
4/14/2018,500
4/14/2018,597
4/15/2018,581
4/15/2018,600
4/15/2018,635
4/15/2018,560
4/15/2018,595
4/15/2018,580
4/15/2018,594
4/15/2018,590
4/15/2018,600
4/15/2018,606
4/15/2018,600
4/15/2018,450
4/15/2018,595
4/15/2018,500
4/16/2018,612
4/16/2018,640
4/16/2018,620
4/16/2018,608
4/16/2018,625
4/16/2018,615
4/16/2018,599
4/16/2018,591
4/16/2018,596
4/16/2018,605
4/16/2018,615
4/17/2018,591
4/17/2018,649
4/17/2018,615
4/17/2018,600
4/17/2018,640
4/17/2018,520
4/17/2018,600
4/17/2018,575
4/17/2018,600
4/17/2018,550
4/17/2018,590
4/18/2018,620
4/18/2018,600
4/18/2018,620
4/18/2018,682
4/18/2018,785
4/18/2018,590
4/18/2018,600
4/18/2018,624
4/18/2018,635
4/18/2018,582
4/18/2018,610
4/19/2018,590
4/19/2018,550
4/19/2018,600
4/19/2018,601
4/19/2018,590
4/19/2018,625
4/19/2018,600
4/19/2018,620
4/19/2018,610
4/19/2018,900
4/20/2018,600
4/20/2018,620
4/20/2018,610
4/20/2018,605
4/20/2018,608
4/20/2018,596
4/20/2018,530
4/21/2018,620
4/21/2018,601
4/21/2018,625
4/21/2018,585
4/21/2018,630
4/21/2018,600
4/21/2018,620
4/22/2018,620
4/22/2018,615
4/22/2018,595
4/22/2018,615
4/22/2018,586
4/23/2018,874
4/23/2018,605
4/23/2018,500
4/23/2018,615
4/23/2018,609
4/23/2018,571
4/23/2018,585
4/23/2018,599
4/23/2018,590
4/23/2018,546
4/23/2018,624
4/23/2018,604
4/23/2018,620
4/23/2018,570
4/23/2018,560
4/24/2018,587
4/24/2018,609
4/24/2018,609
4/24/2018,608
4/24/2018,588
4/24/2018,606
4/24/2018,615
4/24/2018,533
4/24/2018,645
4/24/2018,690
4/25/2018,643
4/25/2018,519
4/25/2018,640
4/25/2018,610
4/25/2018,622
4/25/2018,617
4/25/2018,575
4/25/2018,620
4/25/2018,634
4/25/2018,685
4/26/2018,592
4/26/2018,605
4/26/2018,600
4/26/2018,640
4/26/2018,625
4/27/2018,611
4/27/2018,610
4/27/2018,625
4/27/2018,590
4/27/2018,568
4/28/2018,540
4/28/2018,640
4/28/2018,585
4/28/2018,645
4/28/2018,675
4/28/2018,630
4/28/2018,624
4/29/2018,671
4/29/2018,590
4/29/2018,600
4/29/2018,491
4/29/2018,620
4/29/2018,610
4/30/2018,611
4/30/2018,620
4/30/2018,640
4/30/2018,685
4/30/2018,621
4/30/2018,601
4/30/2018,601
5/1/2018,680
5/1/2018,615
5/1/2018,685
5/1/2018,645
5/1/2018,540
5/2/2018,635
5/2/2018,684
5/2/2018,600
5/2/2018,639
5/2/2018,640
5/2/2018,687
5/2/2018,677
5/3/2018,640
5/3/2018,643
5/3/2018,602
5/3/2018,618
5/3/2018,622
5/4/2018,635
5/4/2018,680
5/4/2018,540
5/4/2018,625
5/5/2018,518
5/5/2018,509
5/5/2018,682
5/6/2018,531
5/6/2018,680
5/6/2018,630
5/7/2018,615
5/7/2018,627
5/7/2018,670
5/7/2018,620
5/7/2018,617
5/7/2018,531
5/7/2018,523
5/7/2018,590
5/7/2018,649
5/7/2018,645
5/8/2018,684
5/8/2018,601
5/8/2018,600
5/8/2018,670
5/8/2018,693
5/8/2018,569
5/8/2018,455
5/8/2018,495
5/8/2018,484
5/8/2018,500
5/9/2018,630
5/9/2018,638
5/9/2018,637
5/9/2018,620
5/9/2018,640
5/10/2018,675
5/10/2018,638
5/10/2018,615
5/10/2018,625
5/10/2018,624
5/10/2018,580
5/11/2018,595
5/11/2018,628
5/11/2018,634
5/11/2018,640
5/11/2018,616
5/11/2018,615
5/12/2018,620
5/12/2018,544
