OrderDate,SalesPrice
9/7/2017,1800
9/8/2017,2399
9/10/2017,1200
9/11/2017,1269
9/11/2017,1300
9/11/2017,1135
9/12/2017,1100
9/12/2017,1200
9/13/2017,990
9/13/2017,1070
9/14/2017,999
9/15/2017,1000
9/16/2017,1000
9/16/2017,1050
9/17/2017,1080
9/17/2017,1007
9/18/2017,1090
9/18/2017,955
9/19/2017,929
9/19/2017,885
9/20/2017,940
9/20/2017,970
9/20/2017,1350
9/20/2017,1050
9/21/2017,1050
9/24/2017,945
9/26/2017,1150
9/26/2017,960
9/26/2017,1000
9/27/2017,1098
9/29/2017,965
9/29/2017,976
9/30/2017,1050
10/3/2017,965
10/4/2017,920
10/6/2017,955
10/8/2017,1195
10/9/2017,950
10/10/2017,1047
10/11/2017,995
10/13/2017,950
10/13/2017,1010
10/24/2017,1100
10/24/2017,975
10/25/2017,931
10/28/2017,1130
10/30/2017,955
10/31/2017,945
11/2/2017,950
11/3/2017,900
11/4/2017,1000
11/10/2017,1099
11/11/2017,800
11/13/2017,991
11/14/2017,1500
11/14/2017,951
11/15/2017,900
11/15/2017,1050
11/15/2017,870
11/15/2017,950
11/16/2017,800
11/16/2017,755
11/16/2017,749
11/16/2017,775
11/16/2017,800
11/16/2017,800
11/16/2017,750
11/16/2017,790
11/16/2017,765
11/16/2017,800
11/16/2017,780
11/17/2017,790
11/17/2017,785
11/17/2017,770
11/17/2017,778
11/17/2017,910
11/17/2017,752
11/18/2017,750
11/18/2017,899
11/18/2017,650
11/18/2017,725
11/18/2017,695
11/18/2017,777
11/18/2017,680
11/18/2017,650
11/18/2017,720
11/18/2017,650
11/18/2017,685
11/19/2017,716
11/19/2017,690
11/19/2017,652
11/19/2017,713
11/19/2017,650
11/19/2017,730
11/19/2017,775
11/19/2017,700
11/20/2017,715
11/20/2017,611
11/20/2017,709
11/20/2017,660
11/20/2017,686
11/20/2017,600
11/20/2017,611
11/20/2017,602
11/20/2017,650
11/20/2017,649
11/21/2017,685
11/21/2017,675
11/21/2017,700
11/21/2017,690
11/22/2017,689
11/22/2017,650
11/22/2017,798
11/22/2017,719
11/22/2017,690
11/22/2017,700
11/23/2017,565
11/23/2017,698
11/24/2017,690
11/24/2017,700
11/24/2017,710
11/24/2017,670
11/24/2017,705
11/24/2017,699
11/24/2017,685
11/24/2017,705
11/24/2017,580
11/24/2017,670
11/24/2017,693
11/24/2017,698
11/25/2017,611
11/25/2017,700
11/25/2017,595
11/25/2017,715
11/25/2017,850
11/25/2017,669
11/25/2017,710
11/25/2017,600
11/26/2017,865
11/26/2017,660
11/26/2017,715
11/26/2017,520
11/26/2017,720
11/26/2017,615
11/26/2017,600
11/27/2017,710
11/27/2017,660
11/27/2017,648
11/27/2017,651
11/27/2017,675
11/27/2017,620
11/27/2017,679
11/27/2017,820
11/27/2017,685
11/27/2017,665
11/27/2017,670
11/27/2017,670
11/27/2017,590
11/27/2017,680
11/27/2017,686
11/28/2017,655
11/28/2017,650
11/28/2017,705
11/28/2017,662
11/28/2017,677
11/28/2017,740
11/28/2017,681
11/28/2017,689
11/28/2017,670
11/29/2017,677
11/29/2017,590
11/29/2017,699
11/29/2017,700
11/29/2017,685
11/29/2017,689
11/29/2017,680
11/30/2017,677
11/30/2017,690
11/30/2017,621
11/30/2017,699
11/30/2017,600
12/1/2017,680
12/1/2017,610
12/1/2017,560
12/1/2017,562
12/1/2017,645
12/1/2017,699
12/1/2017,649
12/2/2017,570
12/2/2017,679
12/2/2017,680
12/2/2017,675
12/2/2017,690
12/2/2017,662
12/2/2017,680
12/3/2017,666
12/3/2017,580
12/3/2017,610
12/4/2017,675
12/4/2017,580
12/4/2017,639
12/4/2017,690
12/4/2017,720
12/4/2017,670
12/4/2017,665
12/5/2017,675
12/5/2017,550
12/5/2017,660
12/5/2017,686
12/5/2017,650
12/5/2017,688
12/6/2017,710
12/6/2017,580
12/6/2017,600
12/7/2017,675
12/7/2017,700
12/7/2017,688
12/8/2017,681
12/8/2017,560
12/8/2017,675
12/8/2017,685
12/9/2017,687
12/9/2017,685
12/9/2017,680
12/9/2017,665
12/10/2017,700
12/10/2017,680
12/10/2017,685
12/11/2017,678
12/11/2017,680
12/11/2017,675
12/12/2017,700
12/12/2017,645
12/13/2017,595
12/13/2017,658
12/13/2017,658
12/14/2017,675
12/14/2017,684
12/14/2017,670
12/15/2017,605
12/15/2017,592
12/15/2017,650
12/16/2017,565
12/16/2017,690
12/17/2017,700
12/17/2017,675
12/18/2017,700
12/18/2017,689
12/19/2017,665
12/19/2017,650
12/19/2017,655
12/20/2017,667
12/20/2017,670
12/20/2017,597
12/21/2017,680
12/21/2017,705
12/22/2017,650
12/22/2017,690
12/22/2017,673
12/22/2017,700
12/23/2017,750
12/23/2017,717
12/24/2017,635
12/24/2017,730
12/25/2017,749
12/25/2017,670
12/25/2017,749
12/26/2017,710
12/27/2017,685
12/27/2017,850
12/28/2017,775
12/28/2017,740
12/29/2017,750
12/29/2017,769
12/29/2017,780
12/30/2017,740
12/30/2017,695
12/31/2017,709
12/31/2017,650
1/2/2018,765
1/2/2018,625
1/3/2018,730
1/3/2018,675
1/3/2018,730
1/4/2018,777
1/4/2018,765
1/4/2018,800
1/5/2018,640
1/6/2018,750
1/6/2018,800
1/7/2018,726
1/7/2018,800
1/8/2018,765
1/9/2018,975
1/9/2018,619
1/9/2018,700
