OrderDate,SalesPrice
9/19/2018,925
9/19/2018,915
9/20/2018,900
9/20/2018,800
9/20/2018,880
9/20/2018,900
9/21/2018,1200
9/21/2018,855
9/22/2018,930
9/22/2018,851
9/23/2018,820
9/23/2018,986
9/23/2018,820
9/23/2018,810
9/24/2018,925
9/24/2018,750
9/25/2018,730
9/25/2018,815
9/26/2018,840
9/26/2018,810
9/26/2018,850
9/26/2018,800
9/26/2018,850
9/27/2018,682
9/27/2018,700
9/27/2018,814
9/27/2018,800
9/27/2018,740
9/27/2018,804
9/27/2018,681
9/27/2018,740
9/27/2018,800
9/27/2018,680
9/27/2018,690
9/27/2018,676
9/27/2018,771
9/27/2018,825
9/27/2018,725
9/27/2018,819
9/27/2018,680
9/27/2018,682
9/28/2018,760
9/28/2018,785
9/28/2018,705
9/28/2018,659
9/28/2018,680
9/28/2018,765
9/28/2018,700
9/28/2018,766
9/28/2018,740
9/28/2018,745
9/28/2018,685
9/28/2018,650
9/28/2018,685
9/28/2018,789
9/28/2018,740
9/29/2018,676
9/29/2018,683
9/29/2018,690
9/29/2018,768
9/29/2018,666
9/29/2018,796
9/29/2018,650
9/30/2018,780
9/30/2018,730
9/30/2018,780
9/30/2018,727
9/30/2018,790
9/30/2018,780
9/30/2018,730
9/30/2018,898
10/1/2018,760
10/1/2018,735
10/1/2018,735
10/1/2018,790
10/1/2018,760
10/1/2018,650
10/1/2018,704
10/1/2018,745
10/2/2018,730
10/2/2018,711
10/2/2018,660
10/2/2018,700
10/2/2018,739
10/2/2018,739
10/2/2018,650
10/2/2018,667
10/2/2018,799
10/2/2018,680
10/2/2018,730
10/2/2018,699
10/2/2018,650
10/2/2018,662
10/2/2018,650
10/2/2018,687
10/2/2018,705
10/2/2018,668
10/2/2018,580
10/2/2018,705
10/2/2018,680
10/2/2018,750
10/2/2018,676
10/2/2018,685
10/2/2018,665
10/2/2018,683
10/2/2018,710
10/2/2018,680
10/2/2018,670
10/2/2018,650
10/2/2018,650
10/2/2018,688
10/2/2018,666
10/3/2018,650
10/3/2018,714
10/3/2018,701
10/3/2018,699
10/3/2018,777
10/3/2018,780
10/3/2018,745
10/3/2018,666
10/3/2018,731
10/3/2018,715
10/3/2018,748
10/3/2018,710
10/3/2018,720
10/3/2018,699
10/3/2018,686
10/3/2018,719
10/3/2018,743
10/3/2018,641
10/3/2018,745
10/3/2018,704
10/3/2018,684
10/3/2018,760
10/3/2018,725
10/3/2018,651
10/3/2018,680
10/3/2018,649
10/3/2018,668
10/3/2018,650
10/3/2018,640
10/3/2018,700
10/3/2018,800
10/3/2018,659
10/3/2018,680
10/3/2018,664
10/3/2018,660
10/3/2018,635
10/3/2018,749
10/3/2018,686
10/3/2018,680
10/3/2018,696
10/3/2018,689
10/3/2018,722
10/3/2018,731
10/3/2018,705
10/3/2018,675
10/3/2018,685
10/3/2018,748
10/3/2018,699
10/3/2018,700
10/3/2018,715
10/3/2018,745
10/3/2018,700
10/3/2018,709
10/3/2018,750
10/3/2018,631
10/3/2018,685
10/3/2018,750
10/3/2018,695
10/3/2018,666
10/3/2018,717
10/3/2018,698
10/3/2018,690
10/3/2018,692
10/3/2018,750
10/3/2018,700
10/3/2018,675
10/3/2018,685
10/3/2018,700
10/3/2018,670
10/3/2018,680
10/3/2018,728
10/3/2018,640
10/3/2018,702
10/3/2018,711
10/3/2018,681
10/3/2018,630
10/3/2018,699
10/3/2018,640
10/3/2018,707
10/3/2018,740
10/3/2018,681
10/3/2018,725
10/3/2018,690
10/3/2018,735
10/3/2018,720
10/3/2018,715
10/3/2018,685
10/3/2018,670
10/3/2018,685
10/3/2018,660
10/3/2018,660
10/3/2018,647
10/3/2018,630
10/3/2018,705
10/3/2018,750
10/4/2018,694
10/4/2018,650
10/4/2018,695
10/4/2018,660
10/4/2018,636
10/4/2018,670
10/4/2018,667
10/4/2018,646
10/4/2018,620
10/4/2018,675
10/4/2018,653
10/4/2018,670
10/4/2018,682
10/4/2018,700
10/4/2018,626
10/4/2018,619
10/4/2018,625
10/4/2018,650
10/4/2018,702
10/4/2018,635
10/4/2018,617
10/4/2018,670
10/4/2018,632
10/4/2018,690
10/4/2018,626
10/4/2018,651
10/4/2018,733
10/4/2018,665
10/4/2018,660
10/4/2018,693
10/4/2018,625
10/4/2018,695
10/4/2018,640
10/4/2018,670
10/4/2018,700
10/4/2018,655
10/4/2018,645
10/4/2018,645
10/4/2018,655
10/4/2018,611
10/4/2018,685
10/4/2018,655
10/4/2018,670
10/4/2018,625
10/4/2018,735
10/4/2018,656
10/4/2018,699
10/4/2018,650
10/4/2018,735
10/4/2018,641
10/4/2018,660
10/4/2018,730
10/4/2018,739
10/4/2018,624
10/4/2018,672
10/4/2018,675
10/4/2018,696
10/4/2018,700
10/4/2018,645
10/4/2018,675
10/4/2018,635
10/4/2018,640
10/4/2018,740
10/4/2018,691
10/4/2018,675
10/4/2018,610
10/4/2018,710
10/4/2018,629
10/4/2018,635
10/4/2018,635
10/4/2018,616
10/4/2018,685
10/5/2018,690
10/5/2018,655
10/5/2018,670
10/5/2018,586
10/5/2018,610
10/5/2018,750
10/5/2018,680
10/5/2018,607
10/5/2018,675
10/5/2018,626
10/5/2018,653
10/5/2018,609
10/5/2018,615
10/5/2018,619
10/5/2018,615
10/5/2018,619
10/5/2018,605
10/5/2018,561
10/5/2018,600
10/5/2018,600
10/5/2018,661
10/5/2018,590
10/5/2018,630
10/5/2018,616
10/5/2018,595
10/5/2018,659
