OrderDate,SalesPrice
9/19/2018,908
9/20/2018,775
9/20/2018,850
9/21/2018,850
9/22/2018,800
9/23/2018,769
9/23/2018,700
9/23/2018,800
9/23/2018,725
9/24/2018,800
9/24/2018,836
9/25/2018,850
9/25/2018,830
9/26/2018,765
9/26/2018,835
9/27/2018,700
9/27/2018,701
9/27/2018,801
9/27/2018,775
9/27/2018,750
9/27/2018,815
9/27/2018,652
9/27/2018,755
9/27/2018,650
9/27/2018,899
9/27/2018,735
9/27/2018,702
9/27/2018,720
9/27/2018,701
9/28/2018,650
9/28/2018,677
9/28/2018,687
9/28/2018,800
9/28/2018,715
9/28/2018,760
9/28/2018,790
9/28/2018,650
9/28/2018,700
9/28/2018,635
9/29/2018,750
9/29/2018,630
9/29/2018,675
9/29/2018,675
9/29/2018,675
9/29/2018,675
9/29/2018,749
9/29/2018,704
9/30/2018,655
9/30/2018,720
9/30/2018,680
10/1/2018,685
10/1/2018,698
10/1/2018,750
10/1/2018,642
10/1/2018,740
10/1/2018,680
10/1/2018,799
10/2/2018,600
10/2/2018,520
10/2/2018,675
10/2/2018,649
10/2/2018,629
10/2/2018,639
10/2/2018,770
10/2/2018,700
10/2/2018,650
10/2/2018,640
10/2/2018,570
10/2/2018,630
10/2/2018,710
10/2/2018,511
10/2/2018,516
10/2/2018,640
10/2/2018,628
10/2/2018,645
10/2/2018,690
10/2/2018,600
10/2/2018,740
10/2/2018,650
10/2/2018,670
10/2/2018,635
10/2/2018,729
10/2/2018,720
10/3/2018,675
10/3/2018,580
10/3/2018,666
10/3/2018,655
10/3/2018,639
10/3/2018,672
10/3/2018,649
10/3/2018,650
10/3/2018,650
10/3/2018,615
10/3/2018,655
10/3/2018,600
10/3/2018,564
10/3/2018,675
10/3/2018,638
10/3/2018,550
10/3/2018,666
10/3/2018,520
10/3/2018,655
10/3/2018,655
10/3/2018,675
10/3/2018,620
10/3/2018,680
10/3/2018,605
10/3/2018,645
10/3/2018,640
10/3/2018,607
10/3/2018,575
10/3/2018,615
10/3/2018,575
10/3/2018,679
10/3/2018,524
10/3/2018,901
10/3/2018,630
10/3/2018,650
10/3/2018,685
10/3/2018,650
10/3/2018,611
10/3/2018,620
10/3/2018,485
10/3/2018,665
10/3/2018,800
10/3/2018,650
10/3/2018,642
10/3/2018,660
10/3/2018,629
10/3/2018,675
10/3/2018,700
10/3/2018,555
10/3/2018,520
10/3/2018,649
10/3/2018,689
10/3/2018,643
10/3/2018,600
10/3/2018,628
10/3/2018,637
10/3/2018,660
10/3/2018,595
10/3/2018,650
10/3/2018,580
10/3/2018,665
10/3/2018,585
10/3/2018,610
10/3/2018,570
10/3/2018,650
10/3/2018,649
10/3/2018,620
10/3/2018,682
10/3/2018,660
10/3/2018,640
10/3/2018,610
10/3/2018,555
10/3/2018,650
10/3/2018,660
10/3/2018,620
10/3/2018,610
10/3/2018,637
10/3/2018,639
10/3/2018,675
10/3/2018,850
10/3/2018,670
10/3/2018,600
10/3/2018,625
10/3/2018,687
10/3/2018,540
10/3/2018,665
10/4/2018,575
10/4/2018,615
10/4/2018,638
10/4/2018,621
10/4/2018,606
10/4/2018,600
10/4/2018,590
10/4/2018,525
10/4/2018,600
10/4/2018,605
10/4/2018,570
10/4/2018,560
10/4/2018,588
10/4/2018,631
10/4/2018,571
10/4/2018,600
10/4/2018,575
10/4/2018,564
10/4/2018,540
10/4/2018,600
10/4/2018,644
10/4/2018,600
10/4/2018,635
10/4/2018,598
10/4/2018,555
10/4/2018,605
10/4/2018,557
10/4/2018,625
10/4/2018,565
10/4/2018,600
10/4/2018,645
10/4/2018,640
10/4/2018,600
10/4/2018,640
10/4/2018,600
10/4/2018,635
10/4/2018,530
10/4/2018,592
