OrderDate,SalesPrice
10/6/2018,1150
10/7/2018,1250
10/8/2018,1160
10/8/2018,1150
10/8/2018,1050
10/9/2018,1090
10/9/2018,1000
10/9/2018,1000
10/10/2018,1100
10/10/2018,1000
10/11/2018,1088
10/11/2018,1202
10/12/2018,1000
10/12/2018,1000
10/14/2018,1051
10/16/2018,1000
10/19/2018,1150
10/22/2018,1199
10/22/2018,1258
10/23/2018,1010
10/24/2018,981
10/24/2018,982
10/25/2018,895
10/25/2018,899
10/25/2018,1000
10/25/2018,870
10/25/2018,830
10/25/2018,800
10/25/2018,824
10/25/2018,900
10/25/2018,901
10/25/2018,791
10/26/2018,896
10/26/2018,825
10/26/2018,800
10/26/2018,790
10/26/2018,786
10/26/2018,750
10/26/2018,800
10/26/2018,799
10/26/2018,750
10/26/2018,820
10/26/2018,853
10/26/2018,825
10/26/2018,825
10/26/2018,779
10/26/2018,788
10/26/2018,900
10/26/2018,765
10/26/2018,800
10/26/2018,800
10/27/2018,809
10/27/2018,850
10/27/2018,825
10/27/2018,825
10/27/2018,745
10/27/2018,762
10/27/2018,765
10/27/2018,830
10/27/2018,751
10/27/2018,850
10/27/2018,801
10/27/2018,797
10/28/2018,700
10/28/2018,888
10/28/2018,809
10/28/2018,815
10/28/2018,725
10/28/2018,842
10/29/2018,750
10/29/2018,690
10/29/2018,765
10/29/2018,699
10/29/2018,775
10/29/2018,801
10/29/2018,742
10/29/2018,780
10/29/2018,740
10/29/2018,700
10/29/2018,650
10/29/2018,740
10/29/2018,662
10/29/2018,754
10/29/2018,650
10/29/2018,799
10/29/2018,660
10/29/2018,845
10/29/2018,751
10/29/2018,688
10/29/2018,765
10/29/2018,752
10/29/2018,721
10/29/2018,690
10/29/2018,700
10/29/2018,800
10/29/2018,710
10/29/2018,666
10/29/2018,712
10/29/2018,672
10/30/2018,650
10/30/2018,816
10/30/2018,750
10/30/2018,650
10/30/2018,702
10/30/2018,758
10/30/2018,750
10/30/2018,702
10/30/2018,625
10/30/2018,675
10/30/2018,550
10/30/2018,702
10/30/2018,617
10/30/2018,700
10/30/2018,601
10/30/2018,701
10/30/2018,700
10/30/2018,700
10/30/2018,652
10/30/2018,814
10/30/2018,659
10/30/2018,650
10/30/2018,830
10/31/2018,707
10/31/2018,615
10/31/2018,750
10/31/2018,730
10/31/2018,750
10/31/2018,744
10/31/2018,690
10/31/2018,721
10/31/2018,640
10/31/2018,739
10/31/2018,745
10/31/2018,613
10/31/2018,663
10/31/2018,738
10/31/2018,705
10/31/2018,555
10/31/2018,730
10/31/2018,625
10/31/2018,728
10/31/2018,699
10/31/2018,655
10/31/2018,736
10/31/2018,720
10/31/2018,746
10/31/2018,615
10/31/2018,615
10/31/2018,649
10/31/2018,735
10/31/2018,818
10/31/2018,745
10/31/2018,805
10/31/2018,739
10/31/2018,725
10/31/2018,674
10/31/2018,565
10/31/2018,692
10/31/2018,750
10/31/2018,811
10/31/2018,750
10/31/2018,756
10/31/2018,660
10/31/2018,735
10/31/2018,674
11/1/2018,805
11/1/2018,714
11/1/2018,669
11/1/2018,749
11/1/2018,698
11/1/2018,698
11/1/2018,688
11/1/2018,660
11/1/2018,800
11/1/2018,674
11/1/2018,730
11/1/2018,655
11/1/2018,745
11/1/2018,710
11/1/2018,682
11/2/2018,740
11/2/2018,900
11/2/2018,629
11/2/2018,750
11/2/2018,726
11/3/2018,745
11/3/2018,776
11/4/2018,800
11/4/2018,840
11/5/2018,800
11/5/2018,660
11/5/2018,810
11/6/2018,725
11/6/2018,750
11/7/2018,685
11/7/2018,661
11/8/2018,820
11/8/2018,655
11/9/2018,665
11/9/2018,822
11/10/2018,716
11/11/2018,780
11/12/2018,685
11/12/2018,766
11/13/2018,895
11/13/2018,840
11/14/2018,800
11/14/2018,750
11/14/2018,750
11/15/2018,595
11/16/2018,780
11/16/2018,730
11/18/2018,800
11/19/2018,875
11/19/2018,700
11/20/2018,950
11/21/2018,805
11/21/2018,683
11/22/2018,780
11/23/2018,734
11/23/2018,600
11/23/2018,765
11/24/2018,949
11/25/2018,780
11/26/2018,715
11/26/2018,825
11/26/2018,616
11/26/2018,745
11/26/2018,706
11/26/2018,855
11/26/2018,860
11/26/2018,755
11/28/2018,720
11/29/2018,780
11/30/2018,815
12/2/2018,799
12/3/2018,939
12/4/2018,950
12/6/2018,840
12/7/2018,799
12/8/2018,750
12/8/2018,770
12/9/2018,855
12/10/2018,775
12/13/2018,900
12/14/2018,815
12/15/2018,700
12/16/2018,800
12/17/2018,709
12/18/2018,800
12/21/2018,820
12/21/2018,710
12/22/2018,879
12/23/2018,841
12/24/2018,865
12/25/2018,913
12/26/2018,800
12/27/2018,739
12/28/2018,805
12/28/2018,802
12/30/2018,845
1/2/2019,700
1/3/2019,657
1/5/2019,740
1/7/2019,760
1/13/2019,875
1/15/2019,800
1/19/2019,736
1/21/2019,773
1/22/2019,850
1/23/2019,905
1/24/2019,901
1/27/2019,895
1/28/2019,860
2/1/2019,899
2/2/2019,821
2/6/2019,770
2/6/2019,828
2/6/2019,820
2/7/2019,765
2/7/2019,810
2/7/2019,800
2/7/2019,925
2/8/2019,847
2/9/2019,800
2/12/2019,910
2/12/2019,690
2/13/2019,775
