OrderDate,SalesPrice
9/8/2017,720
9/8/2017,750
9/9/2017,680
9/10/2017,930
9/10/2017,734
9/11/2017,770
9/11/2017,735
9/11/2017,556
9/11/2017,620
9/12/2017,645
9/12/2017,600
9/13/2017,700
9/13/2017,670
9/14/2017,620
9/14/2017,625
9/14/2017,664
9/15/2017,675
9/17/2017,720
9/18/2017,690
9/19/2017,715
9/19/2017,690
9/20/2017,660
9/20/2017,725
9/21/2017,580
9/22/2017,715
9/24/2017,675
9/25/2017,699
9/26/2017,740
9/27/2017,699
9/27/2017,596
9/29/2017,835
9/30/2017,825
10/1/2017,730
10/3/2017,745
10/4/2017,785
10/13/2017,1020
10/18/2017,875
10/21/2017,850
10/24/2017,800
11/1/2017,750
11/2/2017,750
11/7/2017,800
11/7/2017,642
11/7/2017,671
11/8/2017,640
11/8/2017,650
11/8/2017,600
11/8/2017,560
11/8/2017,602
11/8/2017,650
11/8/2017,680
11/8/2017,670
11/8/2017,600
11/9/2017,520
11/9/2017,555
11/9/2017,500
11/9/2017,560
11/9/2017,550
11/9/2017,545
11/9/2017,575
11/9/2017,550
11/9/2017,556
11/9/2017,515
11/9/2017,520
11/9/2017,565
11/10/2017,570
11/10/2017,575
11/10/2017,555
11/10/2017,590
11/10/2017,540
11/10/2017,575
11/10/2017,588
11/10/2017,575
11/11/2017,525
11/11/2017,540
11/11/2017,580
11/11/2017,570
11/11/2017,540
11/11/2017,550
11/11/2017,530
11/11/2017,555
11/12/2017,550
11/12/2017,530
11/12/2017,540
11/12/2017,518
11/12/2017,541
11/12/2017,515
11/12/2017,570
11/12/2017,560
11/12/2017,578
11/12/2017,543
11/12/2017,531
11/12/2017,510
11/12/2017,527
11/12/2017,530
11/13/2017,521
11/13/2017,549
11/13/2017,560
11/13/2017,525
11/13/2017,530
11/13/2017,500
11/13/2017,535
11/13/2017,600
11/13/2017,520
11/14/2017,550
11/14/2017,515
11/14/2017,536
11/14/2017,505
11/14/2017,536
11/14/2017,490
11/14/2017,540
11/14/2017,490
11/14/2017,530
11/15/2017,540
11/15/2017,488
11/15/2017,505
11/15/2017,536
11/15/2017,516
11/16/2017,585
11/16/2017,521
11/16/2017,536
11/16/2017,558
11/16/2017,529
11/16/2017,515
11/17/2017,520
11/17/2017,500
11/17/2017,525
11/17/2017,500
11/17/2017,535
11/18/2017,555
11/18/2017,540
11/18/2017,550
11/18/2017,520
11/19/2017,480
11/19/2017,490
11/19/2017,454
11/19/2017,475
11/20/2017,525
11/20/2017,500
11/20/2017,510
11/20/2017,500
11/20/2017,512
11/20/2017,550
11/20/2017,490
11/20/2017,489
11/20/2017,365
11/20/2017,570
11/21/2017,545
11/21/2017,450
11/21/2017,515
11/21/2017,520
11/21/2017,510
11/22/2017,490
11/22/2017,538
11/22/2017,490
11/22/2017,500
