OrderDate,SalesPrice
11/7/2017,900
11/8/2017,800
11/9/2017,710
11/10/2017,600
11/10/2017,750
11/10/2017,600
11/11/2017,530
11/11/2017,650
11/11/2017,700
11/12/2017,560
11/12/2017,470
11/12/2017,420
11/12/2017,500
11/12/2017,650
11/12/2017,475
11/12/2017,495
11/12/2017,479
11/12/2017,505
11/13/2017,465
11/13/2017,458
11/13/2017,500
11/13/2017,435
11/13/2017,470
11/13/2017,450
11/13/2017,435
11/13/2017,445
11/13/2017,479
11/13/2017,468
11/14/2017,430
11/14/2017,421
11/14/2017,426
11/14/2017,431
11/14/2017,455
11/14/2017,550
11/14/2017,450
11/14/2017,550
11/14/2017,415
11/14/2017,441
11/15/2017,405
11/15/2017,450
11/15/2017,455
11/15/2017,420
11/15/2017,380
11/15/2017,420
11/15/2017,400
11/15/2017,465
11/15/2017,430
11/16/2017,445
11/16/2017,400
11/16/2017,390
11/16/2017,468
11/16/2017,480
11/16/2017,435
11/16/2017,445
11/17/2017,387
11/17/2017,382
11/17/2017,475
11/17/2017,399
11/17/2017,400
11/18/2017,380
11/18/2017,460
11/18/2017,430
11/18/2017,405
11/18/2017,440
11/19/2017,407
11/19/2017,420
11/19/2017,405
11/20/2017,425
11/20/2017,382
11/20/2017,395
11/20/2017,400
11/20/2017,399
11/20/2017,390
11/20/2017,385
11/20/2017,470
11/20/2017,450
11/20/2017,379
11/20/2017,405
11/20/2017,368
11/21/2017,435
11/21/2017,440
11/21/2017,465
11/21/2017,400
11/21/2017,395
11/21/2017,410
11/22/2017,475
11/22/2017,480
11/22/2017,420
11/22/2017,440
11/22/2017,444
11/22/2017,400
11/22/2017,390
11/23/2017,405
11/23/2017,390
11/23/2017,413
11/23/2017,435
11/23/2017,400
11/24/2017,398
11/24/2017,420
11/24/2017,400
11/24/2017,420
11/24/2017,450
11/24/2017,420
11/24/2017,408
11/24/2017,424
11/24/2017,420
11/24/2017,401
11/25/2017,400
11/25/2017,410
11/25/2017,405
11/25/2017,399
11/25/2017,392
11/25/2017,400
11/25/2017,390
11/26/2017,400
11/26/2017,419
11/26/2017,395
11/26/2017,410
11/26/2017,395
11/26/2017,414
11/27/2017,400
11/27/2017,376
11/27/2017,399
11/27/2017,399
11/27/2017,409
11/27/2017,395
11/27/2017,390
11/27/2017,366
11/28/2017,376
11/28/2017,419
11/28/2017,400
11/28/2017,381
11/28/2017,418
11/28/2017,395
11/28/2017,380
11/28/2017,380
11/29/2017,352
11/29/2017,399
11/29/2017,385
11/29/2017,385
11/29/2017,356
11/30/2017,360
11/30/2017,390
11/30/2017,340
11/30/2017,380
11/30/2017,400
11/30/2017,380
12/1/2017,381
12/1/2017,390
12/1/2017,355
12/1/2017,381
12/1/2017,381
12/2/2017,400
12/2/2017,365
12/2/2017,398
12/3/2017,399
12/3/2017,386
12/3/2017,380
12/4/2017,377
12/4/2017,372
12/4/2017,355
12/4/2017,399
12/4/2017,376
12/5/2017,365
12/5/2017,388
12/5/2017,381
12/5/2017,390
12/5/2017,375
12/6/2017,368
12/6/2017,400
12/6/2017,405
12/6/2017,390
12/6/2017,385
12/7/2017,370
12/7/2017,360
12/7/2017,414
12/7/2017,390
12/8/2017,419
12/8/2017,360
12/8/2017,397
12/8/2017,376
12/9/2017,401
12/9/2017,350
12/9/2017,391
12/10/2017,397
12/10/2017,395
12/10/2017,395
12/11/2017,394
12/11/2017,398
12/12/2017,413
12/12/2017,382
12/12/2017,336
12/13/2017,353
12/13/2017,390
12/13/2017,399
12/13/2017,399
12/13/2017,385
12/14/2017,345
12/14/2017,410
12/14/2017,375
12/14/2017,377
12/15/2017,395
12/15/2017,400
12/15/2017,385
12/15/2017,395
12/16/2017,360
12/16/2017,389
12/17/2017,398
12/17/2017,489
12/17/2017,375
12/18/2017,360
12/18/2017,415
12/18/2017,389
12/18/2017,380
12/19/2017,400
12/19/2017,361
12/19/2017,375
12/20/2017,380
12/20/2017,393
12/21/2017,395
12/21/2017,420
12/22/2017,415
12/22/2017,401
12/23/2017,375
12/23/2017,418
12/24/2017,388
12/24/2017,420
12/25/2017,420
12/25/2017,400
12/25/2017,449
12/26/2017,375
12/26/2017,415
12/27/2017,435
12/27/2017,410
12/28/2017,425
12/28/2017,400
12/28/2017,400
12/29/2017,420
12/29/2017,420
12/29/2017,420
12/30/2017,390
12/30/2017,431
12/31/2017,423
1/1/2018,442
1/2/2018,399
1/2/2018,395
1/3/2018,420
1/3/2018,424
1/4/2018,420
1/4/2018,430
1/5/2018,422
1/5/2018,425
1/6/2018,428
1/7/2018,475
1/7/2018,490
1/8/2018,440
1/9/2018,405
1/9/2018,420
1/10/2018,415
1/11/2018,435
1/12/2018,450
1/12/2018,447
1/13/2018,421
1/13/2018,410
1/14/2018,497
1/14/2018,435
1/15/2018,450
1/15/2018,360
1/15/2018,399
1/15/2018,431
1/16/2018,405
1/16/2018,400
1/16/2018,435
1/17/2018,451
1/17/2018,440
1/18/2018,408
1/19/2018,424
1/19/2018,406
1/20/2018,420
1/21/2018,415
1/22/2018,450
1/22/2018,450
1/23/2018,440
1/23/2018,406
1/24/2018,420
1/25/2018,450
1/25/2018,420
1/26/2018,390
1/26/2018,469
1/27/2018,450
1/27/2018,455
1/27/2018,449
1/28/2018,494
1/29/2018,490
1/30/2018,465
1/30/2018,401
1/31/2018,415
2/2/2018,431
2/2/2018,460
2/3/2018,468
2/4/2018,455
2/5/2018,460
2/6/2018,500
2/6/2018,458
2/7/2018,414
2/8/2018,500
2/9/2018,380
2/9/2018,416
2/10/2018,480
2/11/2018,455
2/12/2018,500
2/15/2018,490
2/17/2018,495
2/18/2018,475
2/19/2018,455
2/20/2018,495
2/20/2018,465
2/21/2018,500
2/22/2018,495
2/23/2018,550
2/24/2018,518
2/24/2018,455
2/25/2018,500
2/25/2018,500
2/26/2018,500
2/27/2018,485
2/28/2018,468
3/1/2018,505
3/2/2018,575
3/2/2018,650
3/3/2018,525
3/4/2018,550
3/5/2018,485
3/7/2018,527
3/8/2018,540
3/9/2018,525
3/9/2018,505
3/10/2018,550
3/11/2018,522
3/12/2018,569
3/13/2018,524
3/14/2018,550
3/15/2018,699
3/16/2018,575
3/18/2018,595
3/19/2018,538
3/19/2018,559
3/20/2018,526
3/22/2018,544
3/23/2018,555
3/24/2018,650
3/25/2018,680
3/26/2018,515
3/28/2018,560
3/30/2018,550
3/31/2018,562
4/2/2018,640
4/3/2018,585
4/4/2018,625
4/5/2018,550
4/8/2018,675
4/10/2018,560
4/11/2018,615
4/13/2018,689
4/16/2018,649
4/22/2018,570
4/23/2018,620
4/24/2018,590
4/26/2018,570
4/27/2018,525
4/28/2018,640
5/2/2018,590
5/7/2018,589
5/8/2018,635
5/12/2018,590
5/13/2018,590
5/14/2018,560
5/15/2018,599
5/16/2018,545
5/18/2018,620
5/22/2018,675
5/23/2018,610
5/23/2018,670
5/24/2018,645
5/25/2018,555
5/27/2018,649
5/28/2018,600
5/30/2018,620
5/31/2018,598
6/2/2018,540
6/3/2018,590
6/4/2018,674
6/5/2018,550
6/7/2018,670
6/10/2018,666
6/11/2018,630
6/11/2018,634
6/12/2018,525
6/13/2018,680
6/14/2018,639
6/14/2018,646
6/15/2018,580
6/19/2018,605
6/20/2018,789
6/25/2018,630
6/26/2018,648
6/27/2018,611
7/8/2018,645
7/18/2018,645
7/30/2018,672
8/1/2018,640
8/3/2018,601
8/9/2018,666
8/10/2018,575
8/10/2018,616
8/11/2018,680
8/12/2018,600
8/16/2018,620
8/18/2018,565
8/19/2018,685
8/20/2018,650
8/20/2018,620
8/21/2018,650
8/25/2018,684
8/26/2018,745
8/26/2018,745
8/27/2018,749
8/28/2018,639
9/10/2018,650
9/13/2018,675
9/17/2018,620
9/24/2018,700
10/4/2018,620
10/8/2018,635
10/10/2018,650
10/13/2018,627
10/15/2018,660
10/18/2018,619
10/22/2018,700
10/28/2018,675
10/31/2018,610
11/1/2018,580
11/3/2018,621
11/5/2018,580
11/6/2018,600
11/7/2018,725
11/13/2018,654
11/18/2018,674
11/19/2018,660
11/20/2018,600
11/23/2018,645
11/23/2018,642
11/24/2018,680
11/26/2018,713
11/29/2018,680
11/30/2018,720
12/3/2018,699
12/5/2018,650
12/5/2018,648
12/7/2018,659
12/7/2018,730
12/10/2018,786
12/12/2018,711
12/16/2018,675
12/17/2018,672
12/18/2018,675
12/19/2018,700
12/25/2018,800
12/26/2018,760
12/26/2018,700
12/28/2018,730
12/30/2018,760
1/1/2019,699
1/7/2019,770
1/12/2019,790
1/14/2019,725
1/17/2019,765
1/21/2019,750
1/31/2019,900
2/1/2019,725
2/4/2019,645
2/7/2019,722
2/11/2019,800
2/13/2019,767
