OrderDate,SalesPrice
6/12/2018,600
6/13/2018,580
6/13/2018,500
6/13/2018,401
6/13/2018,405
6/13/2018,455
6/13/2018,341
6/13/2018,375
6/13/2018,490
6/13/2018,400
6/13/2018,380
6/13/2018,414
6/13/2018,419
6/13/2018,350
6/14/2018,400
6/14/2018,371
6/14/2018,380
6/14/2018,405
6/14/2018,390
6/14/2018,394
6/14/2018,380
6/14/2018,399
6/14/2018,400
6/14/2018,398
6/14/2018,400
6/14/2018,355
6/14/2018,405
6/14/2018,398
6/14/2018,425
6/14/2018,355
6/14/2018,380
6/14/2018,384
6/14/2018,400
6/14/2018,389
6/14/2018,375
6/14/2018,358
6/14/2018,450
6/14/2018,430
6/14/2018,440
6/14/2018,423
6/14/2018,388
6/14/2018,390
6/14/2018,450
6/14/2018,399
6/14/2018,380
6/14/2018,398
6/14/2018,325
6/14/2018,400
6/14/2018,390
6/14/2018,390
6/14/2018,398
6/14/2018,440
6/14/2018,390
6/14/2018,380
6/14/2018,375
6/14/2018,370
6/14/2018,399
6/14/2018,394
6/14/2018,394
6/14/2018,406
6/14/2018,428
6/14/2018,420
6/14/2018,410
6/14/2018,390
6/14/2018,355
6/15/2018,450
6/15/2018,399
6/15/2018,415
6/15/2018,350
6/15/2018,440
6/15/2018,353
6/15/2018,395
6/15/2018,432
6/15/2018,410
6/15/2018,390
6/15/2018,372
6/15/2018,370
6/15/2018,345
6/15/2018,435
6/15/2018,400
6/15/2018,381
6/15/2018,410
6/15/2018,395
6/15/2018,402
6/15/2018,380
6/16/2018,420
6/16/2018,389
6/16/2018,331
6/16/2018,419
6/16/2018,385
6/16/2018,390
6/16/2018,386
6/16/2018,400
6/16/2018,385
6/16/2018,387
6/16/2018,410
6/16/2018,390
6/16/2018,425
6/17/2018,390
6/17/2018,425
6/17/2018,399
6/17/2018,387
6/17/2018,395
6/17/2018,373
6/17/2018,372
6/17/2018,375
6/17/2018,395
6/17/2018,410
6/17/2018,386
6/17/2018,395
6/18/2018,360
6/18/2018,345
6/18/2018,355
6/18/2018,387
6/18/2018,419
6/18/2018,360
6/18/2018,340
6/18/2018,389
6/18/2018,371
6/18/2018,373
6/18/2018,340
6/18/2018,386
6/18/2018,365
6/18/2018,350
6/18/2018,350
6/18/2018,353
6/18/2018,366
6/18/2018,360
6/18/2018,345
6/18/2018,366
6/18/2018,351
6/18/2018,370
6/18/2018,372
6/18/2018,354
6/18/2018,351
6/18/2018,360
6/18/2018,430
6/18/2018,380
6/18/2018,360
6/18/2018,390
6/18/2018,351
6/19/2018,333
6/19/2018,316
6/19/2018,341
6/19/2018,350
6/19/2018,330
6/19/2018,337
