OrderDate,SalesPrice
6/12/2018,500
6/13/2018,360
6/13/2018,500
6/13/2018,460
6/13/2018,401
6/13/2018,428
6/13/2018,410
6/13/2018,400
6/14/2018,349
6/14/2018,363
6/14/2018,350
6/14/2018,387
6/14/2018,368
6/14/2018,357
6/14/2018,380
6/14/2018,365
6/14/2018,394
6/14/2018,345
6/14/2018,394
6/14/2018,385
6/14/2018,395
6/14/2018,648
6/14/2018,330
6/14/2018,377
6/14/2018,320
6/14/2018,350
6/14/2018,390
6/14/2018,385
6/14/2018,350
6/14/2018,379
6/14/2018,380
6/14/2018,365
6/14/2018,356
6/14/2018,360
6/14/2018,360
6/14/2018,370
6/14/2018,375
6/14/2018,378
6/14/2018,390
6/14/2018,365
6/15/2018,351
6/15/2018,320
6/15/2018,374
6/15/2018,330
6/15/2018,351
6/15/2018,350
6/15/2018,355
6/15/2018,359
6/15/2018,355
6/15/2018,450
6/15/2018,354
6/15/2018,348
6/15/2018,370
6/15/2018,348
6/15/2018,345
6/15/2018,350
6/15/2018,370
6/15/2018,370
6/15/2018,380
6/15/2018,345
6/15/2018,360
6/15/2018,351
6/15/2018,348
6/15/2018,345
6/15/2018,330
6/16/2018,345
6/16/2018,370
6/16/2018,321
6/16/2018,331
6/16/2018,355
6/16/2018,349
6/16/2018,330
6/16/2018,347
6/16/2018,330
6/16/2018,340
6/16/2018,339
6/16/2018,375
6/17/2018,342
6/17/2018,378
6/17/2018,325
6/17/2018,341
6/17/2018,340
6/17/2018,337
6/17/2018,331
6/17/2018,370
6/17/2018,316
6/17/2018,365
6/18/2018,315
6/18/2018,308
6/18/2018,300
6/18/2018,318
6/18/2018,315
6/18/2018,312
6/18/2018,310
6/18/2018,309
6/18/2018,300
6/18/2018,307
6/18/2018,330
6/18/2018,322
6/18/2018,347
6/18/2018,320
6/18/2018,315
6/18/2018,333
6/18/2018,310
6/18/2018,322
6/18/2018,315
6/18/2018,330
6/18/2018,348
6/18/2018,331
6/18/2018,330
6/18/2018,311
6/18/2018,305
6/18/2018,330
6/18/2018,300
6/19/2018,290
6/19/2018,297
6/19/2018,300
6/19/2018,277
6/19/2018,280
6/19/2018,300
6/19/2018,295
6/19/2018,310
6/19/2018,299
6/19/2018,305
6/19/2018,310
6/19/2018,286
6/19/2018,288
6/19/2018,295
6/19/2018,305
6/19/2018,296
6/19/2018,285
6/19/2018,315
6/19/2018,290
6/19/2018,290
6/19/2018,282
6/19/2018,301
6/19/2018,307
6/19/2018,310
6/19/2018,288
6/20/2018,291
6/20/2018,290
6/20/2018,286
6/20/2018,294
6/20/2018,299
6/20/2018,280
6/20/2018,288
6/20/2018,290
6/20/2018,297
6/20/2018,276
6/20/2018,285
6/20/2018,287
6/20/2018,284
6/20/2018,295
6/20/2018,288
6/20/2018,260
6/20/2018,288
6/20/2018,250
6/20/2018,288
6/20/2018,289
6/20/2018,297
6/20/2018,287
6/21/2018,288
6/21/2018,290
6/21/2018,285
6/21/2018,299
6/21/2018,295
6/21/2018,291
6/21/2018,294
6/21/2018,285
6/21/2018,275
6/21/2018,285
6/21/2018,300
6/21/2018,251
6/21/2018,295
6/21/2018,300
6/21/2018,285
6/21/2018,231
6/21/2018,289
6/21/2018,280
