OrderDate,SalesPrice
11/21/2018,480
11/21/2018,561
11/26/2018,385
11/26/2018,360
11/27/2018,301
11/27/2018,335
11/27/2018,340
11/27/2018,315
11/27/2018,330
11/27/2018,450
11/27/2018,360
11/27/2018,316
11/27/2018,330
11/27/2018,350
11/27/2018,357
11/27/2018,300
11/27/2018,365
11/27/2018,317
11/27/2018,335
11/27/2018,355
11/27/2018,310
11/27/2018,310
11/27/2018,345
11/27/2018,342
11/27/2018,346
11/27/2018,350
11/27/2018,346
11/27/2018,350
11/27/2018,300
11/27/2018,318
11/28/2018,315
11/28/2018,280
11/28/2018,312
11/28/2018,305
11/28/2018,285
11/28/2018,320
11/28/2018,325
11/28/2018,317
11/28/2018,354
11/28/2018,369
11/28/2018,320
11/28/2018,304
11/28/2018,318
11/28/2018,309
11/28/2018,290
11/28/2018,281
11/28/2018,310
11/28/2018,342
11/28/2018,315
11/28/2018,314
11/28/2018,285
11/28/2018,287
11/28/2018,280
11/28/2018,285
11/28/2018,297
11/28/2018,315
11/28/2018,291
11/28/2018,355
11/28/2018,279
11/28/2018,295
11/28/2018,305
11/28/2018,284
11/28/2018,350
11/28/2018,320
11/28/2018,295
11/28/2018,305
11/28/2018,292
11/28/2018,255
11/28/2018,275
11/28/2018,315
11/28/2018,330
11/28/2018,285
11/28/2018,292
11/28/2018,296
11/28/2018,280
11/28/2018,303
11/28/2018,330
11/28/2018,315
11/28/2018,341
11/28/2018,339
11/28/2018,304
11/28/2018,290
11/28/2018,330
11/28/2018,320
11/28/2018,290
11/28/2018,286
11/28/2018,305
11/28/2018,282
11/28/2018,295
11/28/2018,285
11/28/2018,299
11/28/2018,285
11/28/2018,400
11/28/2018,284
11/28/2018,286
11/28/2018,313
11/28/2018,275
11/28/2018,298
11/28/2018,307
11/28/2018,340
11/28/2018,305
11/28/2018,310
11/28/2018,283
11/28/2018,277
11/28/2018,320
11/28/2018,275
11/28/2018,339
11/28/2018,287
11/28/2018,350
11/28/2018,295
11/28/2018,276
11/28/2018,284
11/28/2018,330
11/28/2018,350
11/28/2018,316
11/28/2018,322
11/28/2018,318
11/28/2018,337
11/28/2018,330
11/28/2018,300
11/28/2018,299
11/28/2018,296
11/28/2018,300
11/28/2018,301
11/28/2018,285
11/28/2018,345
11/28/2018,298
11/28/2018,310
11/28/2018,360
11/28/2018,310
11/28/2018,327
11/28/2018,319
11/28/2018,320
11/28/2018,305
11/28/2018,315
11/28/2018,361
11/28/2018,315
11/28/2018,350
11/28/2018,320
11/28/2018,305
11/28/2018,310
11/28/2018,310
11/28/2018,400
11/28/2018,300
11/28/2018,310
11/28/2018,349
11/28/2018,315
11/28/2018,320
11/28/2018,318
11/28/2018,300
11/28/2018,320
11/28/2018,300
11/28/2018,340
11/28/2018,280
11/28/2018,280
11/28/2018,289
11/28/2018,317
11/28/2018,288
11/28/2018,309
11/28/2018,308
11/28/2018,300
11/28/2018,359
11/28/2018,306
11/29/2018,285
11/29/2018,299
11/29/2018,315
11/29/2018,260
11/29/2018,285
11/29/2018,281
11/29/2018,285
11/29/2018,411
11/29/2018,307
11/29/2018,280
11/29/2018,317
11/29/2018,318
11/29/2018,279
11/29/2018,277
11/29/2018,280
11/29/2018,300
11/29/2018,325
11/29/2018,333
11/29/2018,278
11/29/2018,275
11/29/2018,279
11/29/2018,309
11/29/2018,271
11/29/2018,277
11/29/2018,283
11/29/2018,310
11/29/2018,269
11/29/2018,280
11/29/2018,286
11/29/2018,277
11/29/2018,277
11/29/2018,300
11/29/2018,275
11/29/2018,278
11/29/2018,299
11/29/2018,310
11/29/2018,319
11/29/2018,330
11/29/2018,300
11/29/2018,279
11/29/2018,266
11/29/2018,315
11/29/2018,305
11/29/2018,292
11/29/2018,300
11/29/2018,266
11/29/2018,278
11/29/2018,296
11/29/2018,285
11/29/2018,310
11/29/2018,330
11/29/2018,271
11/29/2018,280
11/29/2018,280
11/29/2018,285
11/29/2018,265
11/29/2018,293
11/29/2018,260
11/29/2018,330
11/29/2018,320
11/29/2018,300
11/29/2018,292
11/29/2018,290
11/29/2018,273
11/29/2018,277
11/29/2018,275
11/29/2018,290
11/29/2018,380
11/29/2018,310
11/29/2018,285
11/29/2018,280
11/29/2018,285
11/29/2018,320
11/30/2018,283
11/30/2018,268
11/30/2018,270
11/30/2018,265
11/30/2018,265
11/30/2018,277
11/30/2018,280
11/30/2018,315
11/30/2018,269
11/30/2018,280
11/30/2018,270
11/30/2018,320
11/30/2018,345
11/30/2018,267
11/30/2018,275
11/30/2018,266
11/30/2018,291
11/30/2018,269
11/30/2018,320
11/30/2018,271
11/30/2018,265
11/30/2018,265
11/30/2018,270
11/30/2018,318
11/30/2018,294
11/30/2018,300
11/30/2018,271
11/30/2018,269
11/30/2018,269
11/30/2018,278
11/30/2018,280
11/30/2018,272
11/30/2018,270
11/30/2018,290
11/30/2018,277
11/30/2018,273
11/30/2018,270
11/30/2018,275
11/30/2018,277
11/30/2018,265
11/30/2018,267
11/30/2018,275
11/30/2018,345
11/30/2018,265
11/30/2018,320
11/30/2018,279
11/30/2018,280
11/30/2018,283
11/30/2018,280
11/30/2018,263
11/30/2018,281
11/30/2018,275
11/30/2018,257
11/30/2018,270
11/30/2018,279
11/30/2018,266
11/30/2018,286
11/30/2018,312
11/30/2018,269
11/30/2018,270
11/30/2018,295
11/30/2018,275
11/30/2018,278
11/30/2018,262
11/30/2018,270
11/30/2018,310
11/30/2018,270
11/30/2018,275
11/30/2018,269
11/30/2018,285
11/30/2018,286
11/30/2018,263
11/30/2018,350
11/30/2018,279
11/30/2018,299
11/30/2018,275
11/30/2018,270
11/30/2018,260
11/30/2018,273
11/30/2018,275
11/30/2018,305
11/30/2018,270
11/30/2018,285
11/30/2018,265
11/30/2018,274
11/30/2018,270
11/30/2018,280
11/30/2018,275
11/30/2018,274
11/30/2018,318
11/30/2018,265
11/30/2018,270
12/1/2018,270
12/1/2018,317
12/1/2018,251
12/1/2018,280
12/1/2018,270
