OrderDate,SalesPrice
11/9/2017,1700
11/13/2017,700
11/14/2017,730
11/14/2017,725
11/15/2017,556
11/15/2017,650
11/15/2017,600
11/16/2017,525
11/16/2017,450
11/16/2017,520
11/16/2017,500
11/17/2017,545
11/17/2017,495
11/17/2017,451
11/18/2017,499
11/18/2017,425
11/18/2017,525
11/18/2017,470
11/18/2017,460
11/18/2017,425
11/18/2017,420
11/18/2017,425
11/18/2017,475
11/18/2017,700
11/18/2017,460
11/18/2017,500
11/18/2017,427
11/19/2017,400
11/19/2017,433
11/19/2017,365
11/19/2017,475
11/19/2017,385
11/19/2017,400
11/19/2017,350
11/19/2017,391
11/19/2017,420
11/19/2017,350
11/19/2017,360
11/20/2017,388
11/20/2017,400
11/20/2017,415
11/20/2017,409
11/20/2017,430
11/20/2017,410
11/20/2017,415
11/20/2017,372
11/20/2017,420
11/20/2017,400
11/20/2017,350
11/20/2017,470
11/20/2017,390
11/20/2017,410
11/20/2017,300
11/20/2017,410
11/21/2017,425
11/21/2017,450
11/21/2017,430
11/21/2017,430
11/21/2017,425
11/22/2017,420
11/22/2017,435
11/22/2017,444
11/22/2017,414
11/22/2017,405
11/22/2017,430
11/22/2017,445
11/23/2017,446
11/23/2017,450
11/23/2017,360
11/23/2017,790
11/24/2017,429
11/24/2017,399
11/24/2017,401
11/24/2017,425
11/24/2017,380
11/24/2017,440
11/24/2017,387
11/24/2017,445
11/24/2017,440
11/24/2017,425
11/24/2017,395
11/24/2017,420
11/24/2017,413
11/24/2017,443
11/25/2017,390
11/25/2017,395
11/25/2017,425
11/25/2017,499
11/25/2017,410
11/25/2017,425
11/25/2017,426
11/25/2017,425
11/25/2017,429
11/25/2017,400
11/26/2017,400
11/26/2017,401
11/26/2017,400
11/26/2017,355
11/26/2017,400
11/26/2017,405
11/26/2017,460
11/27/2017,405
11/27/2017,413
11/27/2017,416
11/27/2017,348
11/27/2017,370
11/27/2017,417
11/27/2017,400
11/27/2017,386
11/27/2017,400
11/27/2017,420
11/27/2017,407
11/28/2017,395
11/28/2017,410
11/28/2017,415
11/28/2017,340
11/28/2017,350
11/28/2017,420
11/28/2017,401
11/28/2017,425
11/29/2017,411
11/29/2017,419
11/29/2017,400
11/29/2017,525
11/29/2017,340
11/29/2017,400
11/29/2017,395
11/29/2017,425
11/30/2017,390
11/30/2017,408
11/30/2017,410
11/30/2017,391
11/30/2017,413
11/30/2017,393
11/30/2017,380
11/30/2017,341
11/30/2017,350
12/1/2017,400
12/1/2017,405
12/1/2017,390
12/2/2017,397
12/2/2017,437
12/2/2017,415
12/2/2017,376
12/2/2017,420
12/2/2017,425
12/3/2017,420
12/3/2017,414
12/3/2017,394
12/3/2017,429
12/3/2017,400
12/3/2017,439
12/3/2017,400
12/4/2017,396
12/4/2017,400
12/4/2017,389
12/4/2017,450
12/5/2017,435
12/5/2017,405
12/5/2017,400
12/6/2017,350
12/6/2017,330
12/6/2017,425
12/6/2017,385
12/6/2017,394
12/7/2017,415
12/7/2017,400
12/7/2017,406
12/7/2017,395
12/7/2017,450
12/8/2017,410
12/8/2017,380
12/8/2017,424
12/8/2017,420
12/8/2017,429
12/8/2017,475
12/9/2017,414
12/9/2017,499
12/10/2017,455
12/10/2017,390
12/10/2017,436
12/11/2017,460
12/11/2017,457
12/11/2017,499
12/12/2017,420
12/12/2017,430
12/13/2017,492
12/13/2017,395
12/14/2017,389
12/14/2017,420
12/14/2017,439
12/14/2017,460
12/15/2017,450
12/15/2017,430
12/16/2017,345
12/16/2017,420
12/17/2017,398
12/17/2017,450
12/18/2017,399
12/18/2017,410
12/18/2017,420
12/19/2017,435
12/19/2017,380
12/19/2017,455
12/21/2017,440
12/21/2017,465
12/22/2017,447
12/22/2017,446
12/23/2017,445
12/24/2017,398
12/24/2017,415
12/25/2017,398
12/25/2017,451
12/25/2017,447
12/25/2017,420
12/26/2017,349
12/26/2017,495
12/27/2017,360
